plate,well,gene,p,genenorm,kinasenorm,pnorm,pvalpos,magratio
NCIDIV_4861,A01,Bat-CoV-HKU4-3CL,1.0,0.1081943843602388,0.1282542735167209,72.06484136006726,3.2398213236612326e-40,-0.04704350335273731
NCIDIV_4861,A01,Bat-CoV-HKU9-3CL,1.0,0.012850325369690534,0.1282542735167209,606.755931905133,3.2398213236612326e-40,-0.07047482280195079
NCIDIV_4861,A01,Bat-SL-CoVZC45-PLP2,0.3675246378111609,0.006935635860278444,0.1282542735167209,413.1695715855988,3.2398213236612326e-40,-0.06624874270387364
NCIDIV_4861,A01,Bat-SV-CoVZC45-3CL,0.5109997307313272,0.019339805117893336,0.1282542735167209,206.01399917432127,3.2398213236612326e-40,-0.05859527131950947
NCIDIV_4861,A01,Beluga-CoV-SW1,1.0,0.03544944218568169,0.1282542735167209,219.9473578210499,3.2398213236612326e-40,-0.05931500774649268
NCIDIV_4861,A01,CCHFV,1.0,0.10000172656628073,0.1282542735167209,77.96876526729692,3.2398213236612326e-40,-0.0479094864617143
NCIDIV_4861,A01,CV-B3,0.3722138920846125,0.03930154090526919,0.1282542735167209,73.84330990715863,3.2398213236612326e-40,-0.04731161831277306
NCIDIV_4861,A01,DENV,1.0,0.3694037684959222,0.1282542735167209,21.10701570998408,3.2398213236612326e-40,-0.0335387264892371
NCIDIV_4861,A01,DUGV,1.0,0.031240885478785153,0.1282542735167209,249.5771494782212,3.2398213236612326e-40,-0.06070489873431301
NCIDIV_4861,A01,EMCV,0.00450075079319614,0.005310276088736409,0.1282542735167209,6.608395403342686,3.2398213236612326e-40,-0.02076745610340446
NCIDIV_4861,A01,FES,1.0,0.012037387207799984,0.1282542735167209,647.732851853303,3.2398213236612326e-40,-0.07119354318371615
NCIDIV_4861,A01,HAV,1.0,0.1471169644596169,0.1282542735167209,52.99872229970464,3.2398213236612326e-40,-0.043663918743913656
NCIDIV_4861,A01,HCV,1.0,0.01797529053401445,0.1282542735167209,433.76273280348664,3.2398213236612326e-40,-0.06678366762884665
NCIDIV_4861,A01,HCoV-229E-3CL,0.5879024274733643,0.054607464677995224,0.1282542735167209,83.94240249378058,3.2398213236612326e-40,-0.04872136696921943
NCIDIV_4861,A01,HCoV-HKU1-3CL,1.0,0.10081548432495512,0.1282542735167209,77.33942059772198,3.2398213236612326e-40,-0.04782035531536881
NCIDIV_4861,A01,HCoV-NL63-3CL,1.0,0.4047139070401155,0.1282542735167209,19.26548855707572,3.2398213236612326e-40,-0.03253474245072531
NCIDIV_4861,A01,HCoV-NL63-PLP2,1.0,0.1078698594631663,0.1282542735167209,72.28164738300372,3.2398213236612326e-40,-0.04707654018125374
NCIDIV_4861,A01,HCoV-OC43-3CL,1.0,0.03804813107375425,0.1282542735167209,204.9249444041461,3.2398213236612326e-40,-0.05853697967041203
NCIDIV_4861,A01,HHV-3,1.0,0.07355952987982049,0.1282542735167209,105.9959349619185,3.2398213236612326e-40,-0.05128680510212117
NCIDIV_4861,A01,HIV-1,0.22918945890724096,0.009666330213323394,0.1282542735167209,184.86775497763443,3.2398213236612326e-40,-0.05740418025327621
NCIDIV_4861,A01,HIV-2,0.14520495731230942,0.08963963943043693,0.1282542735167209,12.63017876536276,3.2398213236612326e-40,-0.027891213737898483
NCIDIV_4861,A01,HPeV,1.0,0.2082044274048652,0.1282542735167209,37.448824898468786,3.2398213236612326e-40,-0.03984449116062487
NCIDIV_4861,A01,HRV-B14,0.620900939056716,0.06755245768351123,0.1282542735167209,71.66536507715682,3.2398213236612326e-40,-0.046982370174789616
NCIDIV_4861,A01,HTLV,1.0,0.007074534781776201,0.1282542735167209,1102.123515606373,3.2398213236612326e-40,-0.07703900761657624
NCIDIV_4861,A01,KUNV,1.0,0.30529422303370674,0.1282542735167209,25.539334047961677,3.2398213236612326e-40,-0.0356350503061919
NCIDIV_4861,A01,LGTV,1.0,0.06942666556425184,0.1282542735167209,112.30571253281498,3.2398213236612326e-40,-0.05192273746379114
NCIDIV_4861,A01,LV,1.0,0.2558117871917351,0.1282542735167209,30.479483492786695,3.2398213236612326e-40,-0.03757982234672621
NCIDIV_4861,A01,MERS-CoV-3CL,1.0,0.08277692015990487,0.1282542735167209,94.19305683164853,3.2398213236612326e-40,-0.04998847653034969
NCIDIV_4861,A01,MERS-CoV-PLP,1.0,0.2351543211808609,0.1282542735167209,33.15699709797783,3.2398213236612326e-40,-0.03850583071924697
NCIDIV_4861,A01,NWV,0.5037938560154683,0.011144477909592315,0.1282542735167209,352.4692984262099,3.2398213236612326e-40,-0.06450126368893609
NCIDIV_4861,A01,POWV,1.0,0.05903591013025106,0.1282542735167209,132.07234592925204,3.2398213236612326e-40,-0.05370574514901846
NCIDIV_4861,A01,PV,0.4866220384151932,0.03411424196239557,0.1282542735167209,111.22033610167931,3.2398213236612326e-40,-0.05181593320691181
NCIDIV_4861,A01,SARS-CoV-1-3CL,1.0,0.0329165620968421,0.1282542735167209,236.87197715337257,3.2398213236612326e-40,-0.06013028656739929
NCIDIV_4861,A01,SARS-CoV-1-PLP,1.0,0.007227622641888257,0.1282542735167209,1078.7795007147383,3.2398213236612326e-40,-0.07680356304112483
NCIDIV_4861,A01,SARS-CoV-2-3CL,1.0,0.0807315496527802,0.1282542735167209,96.57948074210219,3.2398213236612326e-40,-0.05026363779285597
NCIDIV_4861,A01,SARS-CoV-2-PLP,0.23312247118818247,0.04583653283746198,0.1282542735167209,39.65523553980108,3.2398213236612326e-40,-0.04047408516592738
NCIDIV_4861,A01,SHV,0.4167869508318039,0.036385551112125866,0.1282542735167209,89.31271896087779,3.2398213236612326e-40,-0.049403369282260204
NCIDIV_4861,A01,SLEV,0.3094072889287095,0.1449523160188818,0.1282542735167209,16.643073711206398,3.2398213236612326e-40,-0.030925541927022696
NCIDIV_4861,A01,SV-A,1.0,0.0010915611300458287,0.1282542735167209,7142.990832445085,3.2398213236612326e-40,-0.09759257898904038
NCIDIV_4861,A01,WNV,0.4641530162917957,0.16025300046044605,0.1282542735167209,22.583079446878575,3.2398213236612326e-40,-0.0342821226993575
NCIDIV_4861,A01,YES1,0.1282542735167209,0.11745256337761933,0.1282542735167209,8.514075565851385,3.2398213236612326e-40,-0.023554058583508466
NCIDIV_4861,A01,ZIKV,1.0,0.03371164288813484,0.1282542735167209,231.28540993518268,3.2398213236612326e-40,-0.059867800251547525
NCIDIV_4861,A01,c-Src,1.0,0.004642323536676695,0.1282542735167209,1679.5492781514336,3.2398213236612326e-40,-0.08167220325873796
NCIDIV_4861,A02,Bat-CoV-HKU4-3CL,0.403188830727679,0.1081943843602388,0.2577549956108578,14.457615861441788,3.2398213236612326e-40,-0.029377361071709726
NCIDIV_4861,A02,Bat-CoV-HKU9-3CL,0.4018505754007082,0.012850325369690534,0.2577549956108578,121.32306661491259,3.2398213236612326e-40,-0.05277211639927353
NCIDIV_4861,A02,Bat-SL-CoVZC45-PLP2,0.24968544968105424,0.006935635860278444,0.2577549956108578,139.66894739333728,3.2398213236612326e-40,-0.0543207942388012
NCIDIV_4861,A02,Bat-SV-CoVZC45-3CL,1.0,0.019339805117893336,0.2577549956108578,200.6045666655757,3.2398213236612326e-40,-0.05830263850199239
NCIDIV_4861,A02,Beluga-CoV-SW1,1.0,0.03544944218568169,0.2577549956108578,109.4418694869816,3.2398213236612326e-40,-0.05163865307349607
NCIDIV_4861,A02,CCHFV,1.0,0.10000172656628073,0.2577549956108578,38.79586241443799,3.2398213236612326e-40,-0.04023313178871768
NCIDIV_4861,A02,CV-B3,0.45449885414066693,0.03930154090526919,0.2577549956108578,44.86587305847372,3.2398213236612326e-40,-0.04183180349694553
NCIDIV_4861,A02,DENV,1.0,0.3694037684959222,0.2577549956108578,10.502473325781738,3.2398213236612326e-40,-0.025862371816240477
NCIDIV_4861,A02,DUGV,0.08720458906310773,0.031240885478785153,0.2577549956108578,10.829512672727619,3.2398213236612326e-40,-0.026199609151699155
NCIDIV_4861,A02,EMCV,0.2421976697748614,0.005310276088736409,0.2577549956108578,176.94804468640643,3.2398213236612326e-40,-0.05692264948191447
NCIDIV_4861,A02,FES,0.2577549956108578,0.012037387207799984,0.2577549956108578,83.07450634735918,3.2398213236612326e-40,-0.04860706752164751
NCIDIV_4861,A02,HAV,0.3214320651555681,0.1471169644596169,0.2577549956108578,8.47655437156983,3.2398213236612326e-40,-0.02350548492870865
NCIDIV_4861,A02,HCV,1.0,0.01797529053401445,0.2577549956108578,215.83257403991607,3.2398213236612326e-40,-0.05910731295585004
NCIDIV_4861,A02,HCoV-229E-3CL,1.0,0.054607464677995224,0.2577549956108578,71.04620674021204,3.2398213236612326e-40,-0.0468869416601172
NCIDIV_4861,A02,HCoV-HKU1-3CL,1.0,0.10081548432495512,0.2577549956108578,38.48271176842757,3.2398213236612326e-40,-0.04014400064237219
NCIDIV_4861,A02,HCoV-NL63-3CL,1.0,0.4047139070401155,0.2577549956108578,9.586162367005395,3.2398213236612326e-40,-0.024858387777728693
NCIDIV_4861,A02,HCoV-NL63-PLP2,0.30069583484270207,0.1078698594631663,0.2577549956108578,10.814842730109051,3.2398213236612326e-40,-0.02618470124284721
NCIDIV_4861,A02,HCoV-OC43-3CL,0.5442358385936894,0.03804813107375425,0.2577549956108578,55.49408779912658,3.2398213236612326e-40,-0.04416990965038806
NCIDIV_4861,A02,HHV-3,1.0,0.07355952987982049,0.2577549956108578,52.74168053289824,3.2398213236612326e-40,-0.04361045042912455
NCIDIV_4861,A02,HIV-1,0.27161909596433537,0.009666330213323394,0.2577549956108578,109.01633591997705,3.2398213236612326e-40,-0.0515958081950433
NCIDIV_4861,A02,HIV-2,0.0004793129556346344,0.08963963943043693,0.2577549956108578,0.020744930099697995,3.2398213236612326e-40,0.04262117580050185
NCIDIV_4861,A02,HPeV,1.0,0.2082044274048652,0.2577549956108578,18.63386515565047,3.2398213236612326e-40,-0.03216813648762826
NCIDIV_4861,A02,HRV-B14,1.0,0.06755245768351123,0.2577549956108578,57.431710971170986,3.2398213236612326e-40,-0.044547352913059335
