plate,well,gene,p,genenorm,kinasenorm,pnorm,pvalpos,magratio
NCIDIV_4865,A01,Bat-CoV-HKU4-3CL,0.5090194634842421,0.05082014214365235,1.0,10.016096807549381,6.192867082846365e-06,-0.1921424185323046
NCIDIV_4865,A01,Bat-CoV-HKU9-3CL,1.0,0.17584558357316443,1.0,5.686807593799636,6.192867082846365e-06,-0.14494102267602094
NCIDIV_4865,A01,Bat-SL-CoVZC45-PLP2,1.0,0.04714815188453436,1.0,21.209739089010235,6.192867082846365e-06,-0.2547057904082874
NCIDIV_4865,A01,Bat-SV-CoVZC45-3CL,1.0,0.11355091063254455,1.0,8.80662246061629,6.192867082846365e-06,-0.18141124086140156
NCIDIV_4865,A01,Beluga-CoV-SW1,1.0,0.2905749933614736,1.0,3.4414523714916028,6.192867082846365e-06,-0.1030588725494551
NCIDIV_4865,A01,CCHFV,1.0,0.6216656477578496,1.0,1.6085817249299237,6.192867082846365e-06,-0.03963879413103104
NCIDIV_4865,A01,CV-B3,1.0,0.3153901142373924,1.0,3.1706764253470086,6.192867082846365e-06,-0.09622532796135887
NCIDIV_4865,A01,DENV,1.0,0.3650429953483426,1.0,2.7394033380800775,6.192867082846365e-06,-0.08403358001960917
NCIDIV_4865,A01,DUGV,1.0,0.4734165872777152,1.0,2.112304526020718,6.192867082846365e-06,-0.06235594856385648
NCIDIV_4865,A01,EMCV,1.0,0.1436567638954142,1.0,6.961036660466788,6.192867082846365e-06,-0.1618003854709823
NCIDIV_4865,A01,FES,1.0,0.04434057073992643,1.0,22.552709252782595,6.192867082846365e-06,-0.25982538350055845
NCIDIV_4865,A01,HAV,1.0,0.44009514851124565,1.0,2.2722359094000493,6.192867082846365e-06,-0.0684420143459315
NCIDIV_4865,A01,HCV,1.0,0.25787741638149475,1.0,3.8778114579860508,6.192867082846365e-06,-0.11301352857729272
NCIDIV_4865,A01,HCoV-229E-3CL,1.0,0.20916266482695683,1.0,4.780967964944001,6.192867082846365e-06,-0.13047267879974145
NCIDIV_4865,A01,HCoV-HKU1-3CL,0.2637017691655524,0.03261252194768172,1.0,8.085905456456052,6.192867082846365e-06,-0.17429143502039177
