plate,well,gene,p,kinasenorm,pnorm,pvalpos,magratio,compound
221126_August_Plate3L_single_conc_B1,Dasatinib,YES1,3.419048403268165e-27,0.0067923049902989,1.4617535149432556e-10,5.65579789265857e-14,1.834164990187497,Dasatinib
221126_August_Plate3L_single_conc_B1,Dasatinib,c-Src,1.8117832927820838e-13,0.0067923049902989,0.0272236756853449,5.65579789265857e-14,0.7981812451034606,Dasatinib
221126_August_Plate3L_single_conc_B1,GC376,BWCoV-SW1 3CL,4.750907788878632e-21,0.151870425611692,6.584560463120302,5.65579789265857e-14,1.472329692451776,GC376
221126_August_Plate3L_single_conc_B1,GC376,SARS-CoV 3CL,3.5046104149238554e-11,0.151870425611692,6.584560463120301,5.65579789265857e-14,0.72744510376313,GC376
221126_August_Plate3L_single_conc_B1,GC376,SARS-CoV-2 3CL,5.059975574591857e-09,0.151870425611692,6.584560463120302,5.65579789265857e-14,0.5644326353105963,GC376
221126_August_Plate3L_single_conc_B1,GRL0617,Bat-SL-CoVZC45 PLP,0.0011124913962759,1.0,1.0,5.65579789265857e-14,0.22296297225241277,GRL0617
221126_August_Plate3L_single_conc_B1,GRL0617,SARS-CoV PLP,6.692295424374408e-17,1.0,1.598864795294005e-10,5.65579789265857e-14,1.2209411153644818,GRL0617
221126_August_Plate3L_single_conc_B1,GRL0617,SARS-CoV-2 PLP,2.3761611454124214e-08,1.0,0.0035531638899693,5.65579789265857e-14,0.5755139149854922,GRL0617
221126_August_Plate3L_single_conc_B1,Lopinavir,HIV-1 PR,3.2346237823901888e-21,1.7699110466399673e-05,5.65579789265857e-14,5.65579789265857e-14,1.1880068236256598,Lopinavir
221126_August_Plate3L_single_conc_B1,Lopinavir,HIV-2 PR,1.0930924197950245e-18,1.7699110466399673e-05,1.2146014536229938e-10,5.65579789265857e-14,0.9971155657003048,Lopinavir
221126_August_Plate3L_single_conc_B1,MAC-5576,Bat-CoV-HKU4 3CL,1.5454889602908875e-26,3.4436097104948848e-15,7.492004005299971e-09,5.65579789265857e-14,0.8566101359258695,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,Bat-CoV-HKU9 3CL,4.2733848028213327e-39,3.4436097104948848e-15,3.818377038577006e-24,5.65579789265857e-14,1.8045843277357883,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,Bat-SL-CoVZC45 3CL,9.398347241405276e-38,3.4436097104948848e-15,3.583705384218684e-21,5.65579789265857e-14,1.703261144814535,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,BWCoV-SW1 3CL,1.4060696046060775e-39,3.4436097104948848e-15,8.594414492671306e-05,5.65579789265857e-14,1.841026294762321,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,HAV 3C,3.078720918264123e-25,3.4436097104948848e-15,7.288235829530556e-10,5.65579789265857e-14,0.7585309651190847,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,HCoV-229E 3CL,3.299608280722404e-33,3.4436097104948848e-15,3.232287263985717e-18,5.65579789265857e-14,1.3601466855814601,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,HCoV-HKU1 3CL,7.76872808149496e-36,3.4436097104948848e-15,2.495307921457886e-18,5.65579789265857e-14,1.558532135695922,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,HCoV-NL63 3CL,1.511046877269115e-37,3.4436097104948848e-15,3.060160844350704e-21,5.65579789265857e-14,1.6876939543599556,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,MERS-CoV 3CL,3.3934667452174536e-30,3.4436097104948848e-15,5.783219649204077e-14,5.65579789265857e-14,1.1327694580575731,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,SARS-CoV 3CL,2.04966164638557e-45,3.4436097104948848e-15,1.6983551149926304e-20,5.65579789265857e-14,2.281586547641867,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,SARS-CoV-2 3CL,3.3916104561884723e-28,3.4436097104948848e-15,1.9464516544806378e-05,5.65579789265857e-14,0.981815584170584,MAC-5576
221126_August_Plate3L_single_conc_B1,MAC-5576,SV-A 3C,4.168518656850418e-36,3.4436097104948848e-15,1.804166565187203e-18,5.65579789265857e-14,1.578941122012019,MAC-5576
