magratio,ppvn,highpass
1.3938473949585133,1.0,1
0.9862579478912532,1.0,2
0.983242244650363,1.0,3
0.9748667032329577,1.0,4
0.9258328026100426,1.0,5
0.9220011409974008,1.0,6
0.8717667857798866,1.0,7
0.8356503071416899,1.0,8
0.8168926334265847,1.0,9
0.8026783216761683,1.0,10
0.7395145197699031,1.0,11
0.7283229572248598,1.0,12
0.7100687502560932,1.0,13
0.7003498431569372,1.0,14
0.694081993630552,1.0,15
0.6861344405543596,1.0,16
0.6674774844297545,1.0,17
0.6471780718608285,1.0,18
0.6214040578595189,1.0,19
0.5884939597390065,0.95,20
0.5878171185991785,0.9523809523809523,21
0.5818969417612313,0.9545454545454546,22
0.5812086044505234,0.9565217391304348,23
0.5727420405122302,0.9583333333333334,24
0.5699219402805747,0.96,25
0.5697808207981768,0.9615384615384616,26
0.538594988889404,0.9629629629629629,27
0.5241193573066679,0.9642857142857143,28
0.4915280544791452,0.9655172413793104,29
0.4867306443691057,0.9666666666666667,30
0.4537327274819365,0.967741935483871,31
0.4425774870037086,0.9375,32
0.436002926062169,0.9393939393939394,33
0.4338334387520821,0.9411764705882353,34
0.4200558307499178,0.9428571428571428,35
0.4065556749981789,0.9444444444444444,36
0.4050956642484412,0.918918918918919,37
0.4037632032414359,0.9210526315789473,38
0.395140467904794,0.8974358974358975,39
0.3618617959871616,0.9,40
0.3560281892574228,0.9024390243902439,41
0.3510383335718542,0.9047619047619048,42
0.3485937637910259,0.8837209302325582,43
0.338673049474736,0.8863636363636364,44
0.3202977462768543,0.8666666666666667,45
0.3199010009038934,0.8695652173913043,46
0.3128503131628145,0.851063829787234,47
0.3044834619447349,0.8333333333333334,48
0.3029601176342223,0.8163265306122449,49
0.3020795044573144,0.8,50
0.2940818372812404,0.803921568627451,51
0.2880218606643616,0.7884615384615384,52
0.2867426922612372,0.7924528301886793,53
0.2862361282696406,0.7777777777777778,54
0.2845559379916417,0.7636363636363637,55
0.284320753589075,0.75,56
0.2809271856622944,0.7368421052631579,57
0.2799881054800848,0.7413793103448276,58
0.2786770886152154,0.7288135593220338,59
0.2725157195199871,0.7166666666666667,60
0.2689729246372858,0.7213114754098361,61
0.2674614768244138,0.7096774193548387,62
0.2664330298229119,0.6984126984126984,63
0.2591316450900902,0.703125,64
0.2557072636559567,0.7076923076923077,65
0.255390584429146,0.696969696969697,66
0.252618003653328,0.6865671641791045,67
0.2506557541139172,0.6911764705882353,68
0.245539730707205,0.6811594202898551,69
0.2373304497665213,0.6857142857142857,70
0.2304044715608913,0.676056338028169,71
0.2279782845753256,0.6666666666666666,72
0.2279115462804323,0.6575342465753424,73
0.2265040511494918,0.6486486486486487,74
0.2220387045375874,0.64,75
0.2169787621330373,0.631578947368421,76
0.2129423274844478,0.6233766233766234,77
0.2095132648886766,0.6153846153846154,78
0.2005823204436633,0.6075949367088608,79
