plate,well,src,id
NCIDIV_4861,H11,NSC,20586
NCIDIV_4862,A02,NSC,109885
NCIDIV_4862,B02,NSC,111107
NCIDIV_4862,C02,NSC,116565
NCIDIV_4862,D02,NSC,117386
NCIDIV_4862,E02,NSC,118832
NCIDIV_4862,F02,NSC,119969
NCIDIV_4862,G02,NSC,120312
NCIDIV_4862,H02,NSC,122131
NCIDIV_4862,A03,NSC,123458
NCIDIV_4862,B03,NSC,125197
NCIDIV_4862,C03,NSC,127216
NCIDIV_4862,D03,NSC,127458
NCIDIV_4862,E03,NSC,127947
NCIDIV_4862,F03,NSC,128068
NCIDIV_4862,G03,NSC,131982
NCIDIV_4862,H03,NSC,134577
NCIDIV_4862,A04,NSC,134580
NCIDIV_4862,B04,NSC,134784
NCIDIV_4862,C04,NSC,134785
NCIDIV_4862,D04,NSC,135351
NCIDIV_4862,E04,NSC,136065
NCIDIV_4862,F04,NSC,145180
NCIDIV_4862,G04,NSC,147829
NCIDIV_4862,H04,NSC,150982
NCIDIV_4862,A05,NSC,151901
NCIDIV_4862,B05,NSC,152632
NCIDIV_4862,C05,NSC,154316
NCIDIV_4862,D05,NSC,154718
NCIDIV_4862,E05,NSC,155196
NCIDIV_4862,F05,NSC,155698
NCIDIV_4862,G05,NSC,155703
NCIDIV_4862,H05,NSC,156571
NCIDIV_4862,A06,NSC,160005
NCIDIV_4862,B06,NSC,162292
NCIDIV_4862,C06,NSC,162915
NCIDIV_4862,D06,NSC,163104
NCIDIV_4862,E06,NSC,163158
NCIDIV_4862,F06,NSC,163920
NCIDIV_4862,G06,NSC,164965
NCIDIV_4862,H06,NSC,166900
NCIDIV_4862,A07,NSC,169458
NCIDIV_4862,B07,NSC,169566
NCIDIV_4862,C07,NSC,173101
NCIDIV_4862,D07,NSC,176324
NCIDIV_4862,E07,NSC,177952
NCIDIV_4862,F07,NSC,191029
NCIDIV_4862,G07,NSC,194242
NCIDIV_4862,H07,NSC,194243
NCIDIV_4862,A08,NSC,195031
NCIDIV_4862,B08,NSC,203065
NCIDIV_4862,C08,NSC,206630
NCIDIV_4862,D08,NSC,227309
NCIDIV_4862,E08,NSC,234764
NCIDIV_4862,F08,NSC,246415
NCIDIV_4862,G08,NSC,269905
NCIDIV_4862,H08,NSC,272275
NCIDIV_4862,A09,NSC,276369
NCIDIV_4862,B09,NSC,278741
NCIDIV_4862,C09,NSC,279834
NCIDIV_4862,D09,NSC,284701
NCIDIV_4862,E09,NSC,287065
NCIDIV_4862,F09,NSC,287495
NCIDIV_4862,G09,NSC,288686
NCIDIV_4862,H09,NSC,295701
NCIDIV_4862,A10,NSC,303244
NCIDIV_4862,B10,NSC,303603
NCIDIV_4862,C10,NSC,303800
NCIDIV_4862,D10,NSC,304902
NCIDIV_4862,E10,NSC,311723
NCIDIV_4862,F10,NSC,321484
NCIDIV_4862,G10,NSC,331198
NCIDIV_4862,H10,NSC,331208
NCIDIV_4862,A11,NSC,335649
NCIDIV_4862,B11,NSC,338205
NCIDIV_4862,C11,NSC,339578
NCIDIV_4862,D11,NSC,341902
NCIDIV_4862,E11,NSC,342460
NCIDIV_4862,F11,NSC,344494
NCIDIV_4862,G11,NSC,351110
NCIDIV_4862,H11,NSC,361056
NCIDIV_4863,A02,NSC,366808
NCIDIV_4863,B02,NSC,370387
NCIDIV_4863,C02,NSC,372063
NCIDIV_4863,D02,NSC,407282
NCIDIV_4863,E02,NSC,513815
NCIDIV_4863,F02,NSC,650438
NCIDIV_4863,G02,NSC,664971
NCIDIV_4863,H02,NSC,672441
NCIDIV_4863,A03,NSC,1451
NCIDIV_4863,B03,NSC,1620
NCIDIV_4863,C03,NSC,1751
NCIDIV_4863,D03,NSC,2561
NCIDIV_4863,E03,NSC,2805
NCIDIV_4863,F03,NSC,3001
NCIDIV_4863,G03,NSC,4263
NCIDIV_4863,H03,NSC,4921
NCIDIV_4863,A04,NSC,5995
NCIDIV_4863,B04,NSC,6866
NCIDIV_4863,C04,NSC,6910
NCIDIV_4863,D04,NSC,8090
NCIDIV_4863,E04,NSC,8179
NCIDIV_4863,F04,NSC,8481
NCIDIV_4863,G04,NSC,8813
NCIDIV_4863,H04,NSC,9064
NCIDIV_4863,A05,NSC,9341
NCIDIV_4863,B05,NSC,9358
NCIDIV_4863,C05,NSC,9461
NCIDIV_4863,D05,NSC,10091
NCIDIV_4863,E05,NSC,10416
NCIDIV_4863,F05,NSC,10428
NCIDIV_4863,G05,NSC,10995
NCIDIV_4863,H05,NSC,11149
NCIDIV_4863,A06,NSC,11150
NCIDIV_4863,B06,NSC,11826
NCIDIV_4863,C06,NSC,11891
NCIDIV_4863,D06,NSC,11991
NCIDIV_4863,E06,NSC,13653
NCIDIV_4863,F06,NSC,13974
NCIDIV_4863,G06,NSC,14304
NCIDIV_4863,H06,NSC,14540
NCIDIV_4863,A07,NSC,15362
NCIDIV_4863,B07,NSC,15364
NCIDIV_4863,C07,NSC,15372
NCIDIV_4863,D07,NSC,15571
NCIDIV_4863,E07,NSC,16416
NCIDIV_4863,F07,NSC,16813
NCIDIV_4863,G07,NSC,17129
NCIDIV_4863,H07,NSC,19063
NCIDIV_4863,A08,NSC,19096
NCIDIV_4863,B08,NSC,19108
NCIDIV_4863,C08,NSC,19115
NCIDIV_4863,D08,NSC,19487
NCIDIV_4863,E08,NSC,19637
NCIDIV_4863,F08,NSC,20045
NCIDIV_4863,G08,NSC,21034
NCIDIV_4863,H08,NSC,21678
NCIDIV_4863,A09,NSC,22939
NCIDIV_4863,B09,NSC,23123
NCIDIV_4863,C09,NSC,23247
NCIDIV_4863,D09,NSC,23248
NCIDIV_4863,E09,NSC,23672
NCIDIV_4863,F09,NSC,23895
NCIDIV_4863,G09,NSC,23906
NCIDIV_4863,H09,NSC,24035
NCIDIV_4863,A10,NSC,25368
NCIDIV_4863,B10,NSC,26744
NCIDIV_4863,C10,NSC,27032
NCIDIV_4863,D10,NSC,27628
NCIDIV_4863,E10,NSC,28341
NCIDIV_4863,F10,NSC,29471
NCIDIV_4863,G10,NSC,29620
NCIDIV_4863,H10,NSC,112975
NCIDIV_4863,A11,NSC,173103
NCIDIV_4863,B11,NSC,281639
NCIDIV_4863,C11,NSC,365560
NCIDIV_4863,D11,NSC,3961
NCIDIV_4863,E11,NSC,9852
NCIDIV_4863,F11,NSC,14303
NCIDIV_4863,G11,NSC,21725
NCIDIV_4863,H11,NSC,17339
NCIDIV_4864,A02,NSC,31208
NCIDIV_4864,B02,NSC,31664
NCIDIV_4864,C02,NSC,31741
NCIDIV_4864,D02,NSC,32838
NCIDIV_4864,E02,NSC,33005
NCIDIV_4864,F02,NSC,34488
NCIDIV_4864,G02,NSC,34769
NCIDIV_4864,H02,NSC,34774
NCIDIV_4864,A03,NSC,34777
NCIDIV_4864,B03,NSC,35676
NCIDIV_4864,C03,NSC,35964
NCIDIV_4864,D03,NSC,36425
NCIDIV_4864,E03,NSC,36520
NCIDIV_4864,F03,NSC,36582
NCIDIV_4864,G03,NSC,37003
NCIDIV_4864,H03,NSC,37812
NCIDIV_4864,A04,NSC,38042
NCIDIV_4864,B04,NSC,38490
NCIDIV_4864,C04,NSC,38743
NCIDIV_4864,D04,NSC,38845
NCIDIV_4864,E04,NSC,38983
NCIDIV_4864,F04,NSC,39336
NCIDIV_4864,G04,NSC,40467
NCIDIV_4864,H04,NSC,40500
NCIDIV_4864,A05,NSC,40614
NCIDIV_4864,B05,NSC,40669
NCIDIV_4864,C05,NSC,41092
NCIDIV_4864,D05,NSC,42014
NCIDIV_4864,E05,NSC,44688
NCIDIV_4864,F05,NSC,45153
NCIDIV_4864,G05,NSC,45291
NCIDIV_4864,H05,NSC,46615
NCIDIV_4864,A06,NSC,47617
NCIDIV_4864,B06,NSC,47619
NCIDIV_4864,C06,NSC,48964
NCIDIV_4864,D06,NSC,49652
NCIDIV_4864,E06,NSC,49701
NCIDIV_4864,F06,NSC,50633
NCIDIV_4864,G06,NSC,51331
NCIDIV_4864,H06,NSC,51936
NCIDIV_4864,A07,NSC,55770
NCIDIV_4864,B07,NSC,56455
NCIDIV_4864,C07,NSC,57103
NCIDIV_4864,D07,NSC,57165
NCIDIV_4864,E07,NSC,57318
NCIDIV_4864,F07,NSC,57345
NCIDIV_4864,G07,NSC,57794
NCIDIV_4864,H07,NSC,58907
NCIDIV_4864,A08,NSC,59776
NCIDIV_4864,B08,NSC,60034
NCIDIV_4864,C08,NSC,60266
NCIDIV_4864,D08,NSC,60419
NCIDIV_4864,E08,NSC,61888
NCIDIV_4864,F08,NSC,61910
NCIDIV_4864,G08,NSC,62665
NCIDIV_4864,H08,NSC,63001
NCIDIV_4864,A09,NSC,63865
NCIDIV_4864,B09,NSC,63963
NCIDIV_4864,C09,NSC,66837
NCIDIV_4864,D09,NSC,67546
NCIDIV_4864,E09,NSC,69421
NCIDIV_4864,F09,NSC,70534
NCIDIV_4864,G09,NSC,73170
NCIDIV_4864,H09,NSC,75241
NCIDIV_4864,A10,NSC,75885
NCIDIV_4864,B10,NSC,77596
NCIDIV_4864,C10,NSC,78130
NCIDIV_4864,D10,NSC,79139
NCIDIV_4864,E10,NSC,79253
NCIDIV_4864,F10,NSC,79538
NCIDIV_4864,G10,NSC,80141
NCIDIV_4864,H10,NSC,81018
NCIDIV_4864,A11,NSC,81120
NCIDIV_4864,B11,NSC,81213
NCIDIV_4864,C11,NSC,81660
NCIDIV_4864,D11,NSC,81703
NCIDIV_4864,E11,NSC,83715
NCIDIV_4864,F11,NSC,85179
NCIDIV_4864,G11,NSC,85326
NCIDIV_4864,H11,NSC,87352
NCIDIV_4865,A02,NSC,87822
NCIDIV_4865,B02,NSC,88811
NCIDIV_4865,C02,NSC,88883
NCIDIV_4865,D02,NSC,88962
NCIDIV_4865,E02,NSC,88998
NCIDIV_4865,F02,NSC,89249
NCIDIV_4865,G02,NSC,89258
NCIDIV_4865,H02,NSC,89723
NCIDIV_4865,A03,NSC,91516
NCIDIV_4865,B03,NSC,92207
NCIDIV_4865,C03,NSC,92794
NCIDIV_4865,D03,NSC,93817
NCIDIV_4865,E03,NSC,96491
NCIDIV_4865,F03,NSC,98683
NCIDIV_4865,G03,NSC,98857
NCIDIV_4865,H03,NSC,99796
NCIDIV_4865,A04,NSC,100120
NCIDIV_4865,B04,NSC,101266
NCIDIV_4865,C04,NSC,101777
NCIDIV_4865,D04,NSC,102086
NCIDIV_4865,E04,NSC,102288
NCIDIV_4865,F04,NSC,103770
NCIDIV_4865,G04,NSC,103775
NCIDIV_4865,H04,NSC,106208
NCIDIV_4865,A05,NSC,106282
NCIDIV_4865,B05,NSC,106461
NCIDIV_4865,C05,NSC,106506
NCIDIV_4865,D05,NSC,106570
NCIDIV_4865,E05,NSC,106863
NCIDIV_4865,F05,NSC,108235
NCIDIV_4865,G05,NSC,108750
NCIDIV_4865,H05,NSC,108753
NCIDIV_4865,A06,NSC,108972
NCIDIV_4865,B06,NSC,109084
NCIDIV_4865,C06,NSC,109086
NCIDIV_4865,D06,NSC,109466
NCIDIV_4865,E06,NSC,109719
NCIDIV_4865,F06,NSC,111552
NCIDIV_4865,G06,NSC,112677
NCIDIV_4865,H06,NSC,114490
NCIDIV_4865,A07,NSC,114831
NCIDIV_4865,B07,NSC,117554
NCIDIV_4865,C07,NSC,117741
NCIDIV_4865,D07,NSC,117922
NCIDIV_4865,E07,NSC,118723
NCIDIV_4865,F07,NSC,120286
NCIDIV_4865,G07,NSC,120307
NCIDIV_4865,H07,NSC,120844
NCIDIV_4865,A08,NSC,121781
NCIDIV_4865,B08,NSC,122280
NCIDIV_4865,C08,NSC,122297
NCIDIV_4865,D08,NSC,122376
NCIDIV_4865,E08,NSC,122987
NCIDIV_4865,F08,NSC,123141
NCIDIV_4865,G08,NSC,124146
NCIDIV_4865,H08,NSC,125043
NCIDIV_4865,A09,NSC,125727
NCIDIV_4865,B09,NSC,126405
NCIDIV_4865,C09,NSC,126757
NCIDIV_4865,D09,NSC,128141
NCIDIV_4865,E09,NSC,128737
NCIDIV_4865,F09,NSC,128751
NCIDIV_4865,G09,NSC,129260
NCIDIV_4865,H09,NSC,130872
NCIDIV_4865,A10,NSC,40383
NCIDIV_4865,B10,NSC,42846
NCIDIV_4865,C10,NSC,53710
NCIDIV_4865,D10,NSC,57670
NCIDIV_4865,E10,NSC,62611
NCIDIV_4865,F10,NSC,68982
NCIDIV_4865,G10,NSC,70959
NCIDIV_4865,H10,NSC,71795
NCIDIV_4865,A11,NSC,101653
NCIDIV_4865,B11,NSC,109174
NCIDIV_4865,C11,NSC,42212
NCIDIV_4865,D11,NSC,50405
NCIDIV_4865,E11,NSC,50572
NCIDIV_4865,F11,NSC,56906
NCIDIV_4865,G11,NSC,113486
NCIDIV_4865,H11,NSC,73054
NCIDIV_4866,A02,NSC,131986
NCIDIV_4866,B02,NSC,133195
NCIDIV_4866,C02,NSC,133356
NCIDIV_4866,D02,NSC,139257
NCIDIV_4866,E02,NSC,140892
NCIDIV_4866,F02,NSC,143348
