runid,well,gene,barcode,counts
NS1519_22023,A1,CCHFV,6A1,37
NS1519_22023,A1,CCHFV,6B1,6
NS1519_22023,A1,CCHFV,6C1,38
NS1519_22023,A1,CCHFV,6E1,33
NS1519_22023,A1,CCHFV,6F1,25
NS1519_22023,A1,DUGV,7D10,162
NS1519_22023,A1,DUGV,2H8,116
NS1519_22023,A1,DUGV,2A9,176
NS1519_22023,A1,DUGV,2C9,173
NS1519_22023,A1,DUGV,2D9,168
NS1519_22023,A1,NWV,7B12,180
NS1519_22023,A1,NWV,10A12,318
NS1519_22023,A1,NWV,10B12,262
NS1519_22023,A1,NWV,10D12,442
NS1519_22023,A1,NWV,10E12,218
NS1519_22023,A1,SHV,3F11,11
NS1519_22023,A1,SHV,3H11,8
NS1519_22023,A1,SHV,3A12,36
NS1519_22023,A1,SHV,3E12,30
NS1519_22023,A1,SHV,3F12,10
NS1519_22023,A1,LV,6B3,286
NS1519_22023,A1,LV,6C3,125
NS1519_22023,A1,LV,6D3,170
NS1519_22023,A1,LV,6E3,333
NS1519_22023,A1,LV,6G3,65
NS1519_22023,A1,HCoV-229E-3CL,5D8,308
NS1519_22023,A1,HCoV-229E-3CL,5E8,268
NS1519_22023,A1,HCoV-229E-3CL,5F8,255
NS1519_22023,A1,HCoV-229E-3CL,5H8,369
NS1519_22023,A1,HCoV-229E-3CL,5A9,335
NS1519_22023,A1,HCoV-NL63-3CL,5H10,520
NS1519_22023,A1,HCoV-NL63-3CL,5A11,873
NS1519_22023,A1,HCoV-NL63-3CL,5C11,739
NS1519_22023,A1,HCoV-NL63-3CL,5E11,608
NS1519_22023,A1,HCoV-NL63-3CL,5F11,1030
NS1519_22023,A1,SARS-CoV-1-3CL,2F1,203
NS1519_22023,A1,SARS-CoV-1-3CL,2G1,82
NS1519_22023,A1,SARS-CoV-1-3CL,2A2,112
NS1519_22023,A1,SARS-CoV-1-3CL,2C2,165
NS1519_22023,A1,SARS-CoV-1-3CL,2D2,40
NS1519_22023,A1,SARS-CoV-2-3CL,9E2,1510
NS1519_22023,A1,SARS-CoV-2-3CL,1E12,1472
NS1519_22023,A1,SARS-CoV-2-3CL,1G12,1556
NS1519_22023,A1,SARS-CoV-2-3CL,1H12,1572
NS1519_22023,A1,SARS-CoV-2-3CL,4E1,1982
NS1519_22023,A1,MERS-CoV-3CL,8B4,101
NS1519_22023,A1,MERS-CoV-3CL,8D4,208
NS1519_22023,A1,MERS-CoV-3CL,8F4,112
NS1519_22023,A1,MERS-CoV-3CL,8H4,117
NS1519_22023,A1,MERS-CoV-3CL,8A6,78
NS1519_22023,A1,HCoV-HKU1-3CL,3D10,470
NS1519_22023,A1,HCoV-HKU1-3CL,3E10,543
NS1519_22023,A1,HCoV-HKU1-3CL,3H10,577
NS1519_22023,A1,HCoV-HKU1-3CL,3C11,713
NS1519_22023,A1,HCoV-HKU1-3CL,3D11,554
NS1519_22023,A1,HCoV-OC43-3CL,7G1,1147
NS1519_22023,A1,HCoV-OC43-3CL,7H1,1626
NS1519_22023,A1,HCoV-OC43-3CL,7A2,1751
NS1519_22023,A1,HCoV-OC43-3CL,7B2,1350
NS1519_22023,A1,HCoV-OC43-3CL,7D2,1021
NS1519_22023,A1,Bat-CoV-HKU4-3CL,7E3,441
NS1519_22023,A1,Bat-CoV-HKU4-3CL,7F3,407
NS1519_22023,A1,Bat-CoV-HKU4-3CL,7G3,603
NS1519_22023,A1,Bat-CoV-HKU4-3CL,7H3,397
NS1519_22023,A1,Bat-CoV-HKU4-3CL,7A4,543
NS1519_22023,A1,Bat-CoV-HKU9-3CL,11D8,90
NS1519_22023,A1,Bat-CoV-HKU9-3CL,11F8,112
NS1519_22023,A1,Bat-CoV-HKU9-3CL,11G8,35
NS1519_22023,A1,Bat-CoV-HKU9-3CL,11H8,43
NS1519_22023,A1,Bat-CoV-HKU9-3CL,11B9,128
NS1519_22023,A1,Bat-SV-CoVZC45-3CL,5C4,542
NS1519_22023,A1,Bat-SV-CoVZC45-3CL,5D4,539
NS1519_22023,A1,Bat-SV-CoVZC45-3CL,5F4,708
NS1519_22023,A1,Bat-SV-CoVZC45-3CL,9D6,298
NS1519_22023,A1,Bat-SV-CoVZC45-3CL,5A5,483
NS1519_22023,A1,Beluga-CoV-SW1,11D2,58
NS1519_22023,A1,Beluga-CoV-SW1,11G2,29
NS1519_22023,A1,Beluga-CoV-SW1,11H2,41
NS1519_22023,A1,Beluga-CoV-SW1,11A3,92
NS1519_22023,A1,Beluga-CoV-SW1,11B3,60
NS1519_22023,A1,HCoV-NL63-PLP2,6H1,333
NS1519_22023,A1,HCoV-NL63-PLP2,6A2,240
NS1519_22023,A1,HCoV-NL63-PLP2,6C2,582
NS1519_22023,A1,HCoV-NL63-PLP2,6E2,323
NS1519_22023,A1,HCoV-NL63-PLP2,6F2,452
NS1519_22023,A1,SARS-CoV-1-PLP,6B4,90
NS1519_22023,A1,SARS-CoV-1-PLP,6C4,197
NS1519_22023,A1,SARS-CoV-1-PLP,6D4,158
NS1519_22023,A1,SARS-CoV-1-PLP,6E4,118
NS1519_22023,A1,SARS-CoV-1-PLP,6G4,173
NS1519_22023,A1,SARS-CoV-2-PLP,6D6,520
NS1519_22023,A1,SARS-CoV-2-PLP,6E6,678
NS1519_22023,A1,SARS-CoV-2-PLP,6F6,533
NS1519_22023,A1,SARS-CoV-2-PLP,6H6,783
NS1519_22023,A1,SARS-CoV-2-PLP,6A7,694
NS1519_22023,A1,MERS-CoV-PLP,6B9,354
NS1519_22023,A1,MERS-CoV-PLP,6C9,219
NS1519_22023,A1,MERS-CoV-PLP,6E9,492
NS1519_22023,A1,MERS-CoV-PLP,6F9,463
NS1519_22023,A1,MERS-CoV-PLP,6H9,384
NS1519_22023,A1,Bat-SL-CoVZC45-PLP2,7E2,345
NS1519_22023,A1,Bat-SL-CoVZC45-PLP2,7G2,328
NS1519_22023,A1,Bat-SL-CoVZC45-PLP2,7H2,191
NS1519_22023,A1,Bat-SL-CoVZC45-PLP2,7A3,253
NS1519_22023,A1,Bat-SL-CoVZC45-PLP2,7B3,356
NS1519_22023,A1,LGTV,4C7,832
NS1519_22023,A1,LGTV,4E10,814
NS1519_22023,A1,LGTV,4F12,689
NS1519_22023,A1,LGTV,4F7,624
NS1519_22023,A1,LGTV,4F10,734
NS1519_22023,A1,DENV,11C6,1874
NS1519_22023,A1,DENV,11D6,3640
NS1519_22023,A1,DENV,11H6,2547
NS1519_22023,A1,DENV,11A7,3164
NS1519_22023,A1,POWV,7B4,320
NS1519_22023,A1,POWV,7C4,864
NS1519_22023,A1,POWV,7E4,687
NS1519_22023,A1,POWV,7F4,448
NS1519_22023,A1,POWV,7A5,492
NS1519_22023,A1,WNV,7G6,1241
NS1519_22023,A1,WNV,7H6,550
NS1519_22023,A1,WNV,7A7,1614
NS1519_22023,A1,WNV,7B7,1045
NS1519_22023,A1,WNV,7D7,912
NS1519_22023,A1,ZIKV,1G7,986
NS1519_22023,A1,ZIKV,1A8,913
NS1519_22023,A1,ZIKV,1C8,727
NS1519_22023,A1,ZIKV,1D8,912
NS1519_22023,A1,ZIKV,1E8,1088
NS1519_22023,A1,HCV,7E12,940
NS1519_22023,A1,HCV,7F12,1117
NS1519_22023,A1,HCV,7G12,869
NS1519_22023,A1,HCV,7H12,893
NS1519_22023,A1,HCV,9B1,453
NS1519_22023,A1,SLEV,9H2,292
NS1519_22023,A1,SLEV,9B3,199
NS1519_22023,A1,SLEV,9E3,248
NS1519_22023,A1,SLEV,9F3,177
NS1519_22023,A1,SLEV,9H3,177
NS1519_22023,A1,KUNV,7A8,894
NS1519_22023,A1,KUNV,7E8,901
NS1519_22023,A1,KUNV,7F8,932
NS1519_22023,A1,KUNV,7H8,1465
NS1519_22023,A1,KUNV,7D9,1285
NS1519_22023,A1,PV,2D6,1145
NS1519_22023,A1,PV,2F6,930
NS1519_22023,A1,PV,2G6,1507
NS1519_22023,A1,PV,2B7,1685
NS1519_22023,A1,PV,2C7,1020
NS1519_22023,A1,SV-A,9B5,398
NS1519_22023,A1,SV-A,9D5,345
NS1519_22023,A1,SV-A,9E5,350
NS1519_22023,A1,SV-A,9F5,493
NS1519_22023,A1,SV-A,9G5,470
NS1519_22023,A1,HAV,7E11,1310
NS1519_22023,A1,HAV,7F11,1003
NS1519_22023,A1,HAV,7G11,1083
NS1519_22023,A1,HAV,7H11,1126
NS1519_22023,A1,EMCV,9B12,948
NS1519_22023,A1,EMCV,9D12,822
NS1519_22023,A1,EMCV,9E12,856
NS1519_22023,A1,EMCV,9F12,654
NS1519_22023,A1,HPeV,2A8,245
NS1519_22023,A1,HPeV,2B8,654
NS1519_22023,A1,HPeV,2C8,395
NS1519_22023,A1,HPeV,2D8,180
NS1519_22023,A1,HPeV,2E8,380
NS1519_22023,A1,HRV-B14,9C1,162
NS1519_22023,A1,HRV-B14,9H1,287
NS1519_22023,A1,HRV-B14,9A2,375
NS1519_22023,A1,HRV-B14,9B2,303
NS1519_22023,A1,HRV-B14,9C2,438
NS1519_22023,A1,CV-B3,7E9,64
NS1519_22023,A1,CV-B3,7F9,50
NS1519_22023,A1,CV-B3,7H9,49
NS1519_22023,A1,CV-B3,7A10,72
NS1519_22023,A1,CV-B3,7B10,127
NS1519_22023,A1,HTLV,3B6,167
NS1519_22023,A1,HTLV,3D6,77
NS1519_22023,A1,HTLV,3F6,126
NS1519_22023,A1,HTLV,3A7,120
NS1519_22023,A1,HTLV,3B7,124
NS1519_22023,A1,HIV-2,7E10,451
NS1519_22023,A1,HIV-2,7D12,927
NS1519_22023,A1,HIV-2,9G2,657
NS1519_22023,A1,HIV-2,9A5,1000
NS1519_22023,A1,HIV-2,9A9,622
NS1519_22023,A1,HIV-1,1E3,1400
NS1519_22023,A1,HIV-1,9C10,677
NS1519_22023,A1,HIV-1,1G3,764
NS1519_22023,A1,HIV-1,1A4,271
NS1519_22023,A1,HIV-1,1B4,175
NS1519_22023,A1,HHV-3,9A4,235
NS1519_22023,A1,HHV-3,9B4,234
NS1519_22023,A1,HHV-3,9C4,213
NS1519_22023,A1,HHV-3,9D4,135
NS1519_22023,A1,HHV-3,9F4,149
NS1519_22023,A1,YES1,4C9,189
NS1519_22023,A1,YES1,4E9,309
NS1519_22023,A1,YES1,4G9,514
NS1519_22023,A1,YES1,4B10,407
NS1519_22023,A1,YES1,4C10,295
NS1519_22023,A1,c-Src,1D4,1628
NS1519_22023,A1,c-Src,1D7,1795
NS1519_22023,A1,c-Src,1B10,1682
NS1519_22023,A1,c-Src,4G1,1520
NS1519_22023,A1,c-Src,9F11,1189
NS1519_22023,A1,FES,6A3,175
NS1519_22023,A1,FES,6D5,114
NS1519_22023,A1,FES,6E7,229
NS1519_22023,A1,FES,6C10,268
NS1519_22023,A1,FES,7D3,237
NS1519_22023,A1,EYFP,3C5,12138
NS1519_22023,A1,EYFP,3D5,12522
NS1519_22023,A1,EYFP,3F5,12028
NS1519_22023,A1,EYFP,3H5,11461
NS1519_22023,A1,EYFP,3A6,12717
NS1519_22023,A2,CCHFV,6A1,6
NS1519_22023,A2,CCHFV,6B1,16
NS1519_22023,A2,CCHFV,6C1,25
NS1519_22023,A2,CCHFV,6E1,26
NS1519_22023,A2,CCHFV,6F1,14
NS1519_22023,A2,DUGV,7D10,220
NS1519_22023,A2,DUGV,2H8,166
NS1519_22023,A2,DUGV,2A9,156
NS1519_22023,A2,DUGV,2C9,269
NS1519_22023,A2,DUGV,2D9,259
NS1519_22023,A2,NWV,7B12,253
NS1519_22023,A2,NWV,10A12,202
NS1519_22023,A2,NWV,10B12,277
NS1519_22023,A2,NWV,10D12,364
NS1519_22023,A2,NWV,10E12,248
NS1519_22023,A2,SHV,3F11,1
NS1519_22023,A2,SHV,3H11,31
NS1519_22023,A2,SHV,3A12,31
NS1519_22023,A2,SHV,3E12,51
NS1519_22023,A2,SHV,3F12,12
NS1519_22023,A2,LV,6B3,181
NS1519_22023,A2,LV,6C3,226
NS1519_22023,A2,LV,6D3,213
NS1519_22023,A2,LV,6E3,870
NS1519_22023,A2,LV,6G3,167
NS1519_22023,A2,HCoV-229E-3CL,5D8,331
NS1519_22023,A2,HCoV-229E-3CL,5E8,304
NS1519_22023,A2,HCoV-229E-3CL,5F8,184
NS1519_22023,A2,HCoV-229E-3CL,5H8,385
NS1519_22023,A2,HCoV-229E-3CL,5A9,176
NS1519_22023,A2,HCoV-NL63-3CL,5H10,1143
NS1519_22023,A2,HCoV-NL63-3CL,5A11,1033
NS1519_22023,A2,HCoV-NL63-3CL,5C11,883
NS1519_22023,A2,HCoV-NL63-3CL,5E11,384
NS1519_22023,A2,HCoV-NL63-3CL,5F11,1269
NS1519_22023,A2,SARS-CoV-1-3CL,2F1,111
NS1519_22023,A2,SARS-CoV-1-3CL,2G1,262
NS1519_22023,A2,SARS-CoV-1-3CL,2A2,128
NS1519_22023,A2,SARS-CoV-1-3CL,2C2,277
NS1519_22023,A2,SARS-CoV-1-3CL,2D2,99
NS1519_22023,A2,SARS-CoV-2-3CL,9E2,1389
NS1519_22023,A2,SARS-CoV-2-3CL,1E12,1174
NS1519_22023,A2,SARS-CoV-2-3CL,1G12,1415
NS1519_22023,A2,SARS-CoV-2-3CL,1H12,1875
NS1519_22023,A2,SARS-CoV-2-3CL,4E1,1586
NS1519_22023,A2,MERS-CoV-3CL,8B4,259
NS1519_22023,A2,MERS-CoV-3CL,8D4,170
NS1519_22023,A2,MERS-CoV-3CL,8F4,122
NS1519_22023,A2,MERS-CoV-3CL,8H4,138
NS1519_22023,A2,MERS-CoV-3CL,8A6,199
NS1519_22023,A2,HCoV-HKU1-3CL,3D10,997
NS1519_22023,A2,HCoV-HKU1-3CL,3E10,476
NS1519_22023,A2,HCoV-HKU1-3CL,3H10,958
NS1519_22023,A2,HCoV-HKU1-3CL,3C11,601
NS1519_22023,A2,HCoV-HKU1-3CL,3D11,666
NS1519_22023,A2,HCoV-OC43-3CL,7G1,1261
NS1519_22023,A2,HCoV-OC43-3CL,7H1,1255
NS1519_22023,A2,HCoV-OC43-3CL,7A2,2034
NS1519_22023,A2,HCoV-OC43-3CL,7B2,1515
NS1519_22023,A2,HCoV-OC43-3CL,7D2,879
NS1519_22023,A2,Bat-CoV-HKU4-3CL,7E3,615
NS1519_22023,A2,Bat-CoV-HKU4-3CL,7F3,461
NS1519_22023,A2,Bat-CoV-HKU4-3CL,7G3,879
NS1519_22023,A2,Bat-CoV-HKU4-3CL,7H3,562
NS1519_22023,A2,Bat-CoV-HKU4-3CL,7A4,841
NS1519_22023,A2,Bat-CoV-HKU9-3CL,11D8,96
NS1519_22023,A2,Bat-CoV-HKU9-3CL,11F8,241
NS1519_22023,A2,Bat-CoV-HKU9-3CL,11G8,135
NS1519_22023,A2,Bat-CoV-HKU9-3CL,11H8,65
NS1519_22023,A2,Bat-CoV-HKU9-3CL,11B9,54
NS1519_22023,A2,Bat-SV-CoVZC45-3CL,5C4,664
NS1519_22023,A2,Bat-SV-CoVZC45-3CL,5D4,613
NS1519_22023,A2,Bat-SV-CoVZC45-3CL,5F4,211
NS1519_22023,A2,Bat-SV-CoVZC45-3CL,9D6,354
NS1519_22023,A2,Bat-SV-CoVZC45-3CL,5A5,468
NS1519_22023,A2,Beluga-CoV-SW1,11D2,57
NS1519_22023,A2,Beluga-CoV-SW1,11G2,75
NS1519_22023,A2,Beluga-CoV-SW1,11H2,51
NS1519_22023,A2,Beluga-CoV-SW1,11A3,54
NS1519_22023,A2,Beluga-CoV-SW1,11B3,51
NS1519_22023,A2,HCoV-NL63-PLP2,6H1,743
NS1519_22023,A2,HCoV-NL63-PLP2,6A2,528
NS1519_22023,A2,HCoV-NL63-PLP2,6C2,553
NS1519_22023,A2,HCoV-NL63-PLP2,6E2,472
NS1519_22023,A2,HCoV-NL63-PLP2,6F2,597
NS1519_22023,A2,SARS-CoV-1-PLP,6B4,267
NS1519_22023,A2,SARS-CoV-1-PLP,6C4,148
NS1519_22023,A2,SARS-CoV-1-PLP,6D4,110
NS1519_22023,A2,SARS-CoV-1-PLP,6E4,147
NS1519_22023,A2,SARS-CoV-1-PLP,6G4,153
NS1519_22023,A2,SARS-CoV-2-PLP,6D6,531
NS1519_22023,A2,SARS-CoV-2-PLP,6E6,589
NS1519_22023,A2,SARS-CoV-2-PLP,6F6,828
NS1519_22023,A2,SARS-CoV-2-PLP,6H6,828
NS1519_22023,A2,SARS-CoV-2-PLP,6A7,995
NS1519_22023,A2,MERS-CoV-PLP,6B9,513
NS1519_22023,A2,MERS-CoV-PLP,6C9,411
NS1519_22023,A2,MERS-CoV-PLP,6E9,407
NS1519_22023,A2,MERS-CoV-PLP,6F9,551
NS1519_22023,A2,MERS-CoV-PLP,6H9,379
NS1519_22023,A2,Bat-SL-CoVZC45-PLP2,7E2,338
NS1519_22023,A2,Bat-SL-CoVZC45-PLP2,7G2,352
NS1519_22023,A2,Bat-SL-CoVZC45-PLP2,7H2,145
NS1519_22023,A2,Bat-SL-CoVZC45-PLP2,7A3,296
NS1519_22023,A2,Bat-SL-CoVZC45-PLP2,7B3,300
NS1519_22023,A2,LGTV,4C7,925
NS1519_22023,A2,LGTV,4E10,754
NS1519_22023,A2,LGTV,4F12,819
NS1519_22023,A2,LGTV,4F7,1012
NS1519_22023,A2,LGTV,4F10,1063
NS1519_22023,A2,DENV,11C6,2837
NS1519_22023,A2,DENV,11D6,3980
NS1519_22023,A2,DENV,11H6,2842
NS1519_22023,A2,DENV,11A7,3005
NS1519_22023,A2,POWV,7B4,319
NS1519_22023,A2,POWV,7C4,581
NS1519_22023,A2,POWV,7E4,864
NS1519_22023,A2,POWV,7F4,683
NS1519_22023,A2,POWV,7A5,548
NS1519_22023,A2,WNV,7G6,1112
NS1519_22023,A2,WNV,7H6,589
NS1519_22023,A2,WNV,7A7,1295
NS1519_22023,A2,WNV,7B7,830
NS1519_22023,A2,WNV,7D7,2148
NS1519_22023,A2,ZIKV,1G7,652
NS1519_22023,A2,ZIKV,1A8,1143
NS1519_22023,A2,ZIKV,1C8,885
NS1519_22023,A2,ZIKV,1D8,995
NS1519_22023,A2,ZIKV,1E8,1664
NS1519_22023,A2,HCV,7E12,1216
NS1519_22023,A2,HCV,7F12,1165
NS1519_22023,A2,HCV,7G12,923
NS1519_22023,A2,HCV,7H12,950
NS1519_22023,A2,HCV,9B1,639
NS1519_22023,A2,SLEV,9H2,225
NS1519_22023,A2,SLEV,9B3,146
NS1519_22023,A2,SLEV,9E3,203
NS1519_22023,A2,SLEV,9F3,176
NS1519_22023,A2,SLEV,9H3,187
NS1519_22023,A2,KUNV,7A8,1301
NS1519_22023,A2,KUNV,7E8,1077
NS1519_22023,A2,KUNV,7F8,896
NS1519_22023,A2,KUNV,7H8,1221
NS1519_22023,A2,KUNV,7D9,910
NS1519_22023,A2,PV,2D6,1155
NS1519_22023,A2,PV,2F6,1369
NS1519_22023,A2,PV,2G6,1334
NS1519_22023,A2,PV,2B7,993
NS1519_22023,A2,PV,2C7,1155
NS1519_22023,A2,SV-A,9B5,409
NS1519_22023,A2,SV-A,9D5,391
NS1519_22023,A2,SV-A,9E5,422
NS1519_22023,A2,SV-A,9F5,364
NS1519_22023,A2,SV-A,9G5,425
NS1519_22023,A2,HAV,7E11,1536
NS1519_22023,A2,HAV,7F11,1378
NS1519_22023,A2,HAV,7G11,1410
NS1519_22023,A2,HAV,7H11,2373
NS1519_22023,A2,EMCV,9B12,640
NS1519_22023,A2,EMCV,9D12,550
NS1519_22023,A2,EMCV,9E12,1384
NS1519_22023,A2,EMCV,9F12,567
NS1519_22023,A2,HPeV,2A8,316
NS1519_22023,A2,HPeV,2B8,338
NS1519_22023,A2,HPeV,2C8,461
NS1519_22023,A2,HPeV,2D8,495
NS1519_22023,A2,HPeV,2E8,537
NS1519_22023,A2,HRV-B14,9C1,150
NS1519_22023,A2,HRV-B14,9H1,410
NS1519_22023,A2,HRV-B14,9A2,345
NS1519_22023,A2,HRV-B14,9B2,314
NS1519_22023,A2,HRV-B14,9C2,325
NS1519_22023,A2,CV-B3,7E9,147
NS1519_22023,A2,CV-B3,7F9,62
NS1519_22023,A2,CV-B3,7H9,56
NS1519_22023,A2,CV-B3,7A10,69
NS1519_22023,A2,CV-B3,7B10,81
NS1519_22023,A2,HTLV,3B6,141
NS1519_22023,A2,HTLV,3D6,153
NS1519_22023,A2,HTLV,3F6,114
NS1519_22023,A2,HTLV,3A7,138
NS1519_22023,A2,HTLV,3B7,245
NS1519_22023,A2,HIV-2,7E10,713
NS1519_22023,A2,HIV-2,7D12,418
NS1519_22023,A2,HIV-2,9G2,334
NS1519_22023,A2,HIV-2,9A5,188
NS1519_22023,A2,HIV-2,9A9,996
NS1519_22023,A2,HIV-1,1E3,735
NS1519_22023,A2,HIV-1,9C10,1111
NS1519_22023,A2,HIV-1,1G3,1289
NS1519_22023,A2,HIV-1,1A4,634
NS1519_22023,A2,HIV-1,1B4,310
NS1519_22023,A2,HHV-3,9A4,181
NS1519_22023,A2,HHV-3,9B4,193
NS1519_22023,A2,HHV-3,9C4,291
NS1519_22023,A2,HHV-3,9D4,100
NS1519_22023,A2,HHV-3,9F4,132
NS1519_22023,A2,YES1,4C9,411
NS1519_22023,A2,YES1,4E9,427
NS1519_22023,A2,YES1,4G9,494
NS1519_22023,A2,YES1,4B10,223
NS1519_22023,A2,YES1,4C10,595
NS1519_22023,A2,c-Src,1D4,1775
NS1519_22023,A2,c-Src,1D7,2320
NS1519_22023,A2,c-Src,1B10,1178
NS1519_22023,A2,c-Src,4G1,1701
NS1519_22023,A2,c-Src,9F11,1291
NS1519_22023,A2,FES,6A3,271
NS1519_22023,A2,FES,6D5,198
NS1519_22023,A2,FES,6E7,542
NS1519_22023,A2,FES,6C10,285
NS1519_22023,A2,FES,7D3,213
NS1519_22023,A2,EYFP,3C5,11971
NS1519_22023,A2,EYFP,3D5,12008
NS1519_22023,A2,EYFP,3F5,12098
NS1519_22023,A2,EYFP,3H5,15762
NS1519_22023,A2,EYFP,3A6,13650
NS1519_22023,A3,CCHFV,6A1,106
NS1519_22023,A3,CCHFV,6B1,34
NS1519_22023,A3,CCHFV,6C1,127
NS1519_22023,A3,CCHFV,6E1,55
NS1519_22023,A3,CCHFV,6F1,50
NS1519_22023,A3,DUGV,7D10,316
NS1519_22023,A3,DUGV,2H8,187
NS1519_22023,A3,DUGV,2A9,212
NS1519_22023,A3,DUGV,2C9,220
NS1519_22023,A3,DUGV,2D9,335
NS1519_22023,A3,NWV,7B12,247
NS1519_22023,A3,NWV,10A12,552
NS1519_22023,A3,NWV,10B12,493
NS1519_22023,A3,NWV,10D12,536
NS1519_22023,A3,NWV,10E12,566
NS1519_22023,A3,SHV,3F11,35
NS1519_22023,A3,SHV,3H11,60
NS1519_22023,A3,SHV,3A12,99
NS1519_22023,A3,SHV,3E12,55
NS1519_22023,A3,SHV,3F12,49
NS1519_22023,A3,LV,6B3,305
NS1519_22023,A3,LV,6C3,540
NS1519_22023,A3,LV,6D3,203
NS1519_22023,A3,LV,6E3,281
NS1519_22023,A3,LV,6G3,403
NS1519_22023,A3,HCoV-229E-3CL,5D8,500
NS1519_22023,A3,HCoV-229E-3CL,5E8,869
NS1519_22023,A3,HCoV-229E-3CL,5F8,728
NS1519_22023,A3,HCoV-229E-3CL,5H8,1074
