runid,well,gene,barcode,counts
NS1519_22022,A1,CCHFV,6A1,104
NS1519_22022,A1,CCHFV,6B1,40
NS1519_22022,A1,CCHFV,6C1,94
NS1519_22022,A1,CCHFV,6E1,90
NS1519_22022,A1,CCHFV,6F1,183
NS1519_22022,A1,DUGV,7D10,430
NS1519_22022,A1,DUGV,2H8,486
NS1519_22022,A1,DUGV,2A9,375
NS1519_22022,A1,DUGV,2C9,412
NS1519_22022,A1,DUGV,2D9,444
NS1519_22022,A1,NWV,7B12,399
NS1519_22022,A1,NWV,10A12,795
NS1519_22022,A1,NWV,10B12,596
NS1519_22022,A1,NWV,10D12,634
NS1519_22022,A1,NWV,10E12,583
NS1519_22022,A1,SHV,3F11,14
NS1519_22022,A1,SHV,3H11,2
NS1519_22022,A1,SHV,3A12,95
NS1519_22022,A1,SHV,3E12,40
NS1519_22022,A1,SHV,3F12,96
NS1519_22022,A1,LV,6B3,625
NS1519_22022,A1,LV,6C3,373
NS1519_22022,A1,LV,6D3,414
NS1519_22022,A1,LV,6E3,335
NS1519_22022,A1,LV,6G3,196
NS1519_22022,A1,HCoV-229E-3CL,5D8,1021
NS1519_22022,A1,HCoV-229E-3CL,5E8,1181
NS1519_22022,A1,HCoV-229E-3CL,5F8,827
NS1519_22022,A1,HCoV-229E-3CL,5H8,1419
NS1519_22022,A1,HCoV-229E-3CL,5A9,878
NS1519_22022,A1,HCoV-NL63-3CL,5H10,2371
NS1519_22022,A1,HCoV-NL63-3CL,5A11,1618
NS1519_22022,A1,HCoV-NL63-3CL,5C11,1617
NS1519_22022,A1,HCoV-NL63-3CL,5E11,1403
NS1519_22022,A1,HCoV-NL63-3CL,5F11,2348
NS1519_22022,A1,SARS-CoV-1-3CL,2F1,290
NS1519_22022,A1,SARS-CoV-1-3CL,2G1,145
NS1519_22022,A1,SARS-CoV-1-3CL,2A2,221
NS1519_22022,A1,SARS-CoV-1-3CL,2C2,473
NS1519_22022,A1,SARS-CoV-1-3CL,2D2,337
NS1519_22022,A1,SARS-CoV-2-3CL,9E2,2729
NS1519_22022,A1,SARS-CoV-2-3CL,1E12,3767
NS1519_22022,A1,SARS-CoV-2-3CL,1G12,2699
NS1519_22022,A1,SARS-CoV-2-3CL,1H12,4083
NS1519_22022,A1,SARS-CoV-2-3CL,4E1,4033
NS1519_22022,A1,MERS-CoV-3CL,8B4,398
NS1519_22022,A1,MERS-CoV-3CL,8D4,252
NS1519_22022,A1,MERS-CoV-3CL,8F4,213
NS1519_22022,A1,MERS-CoV-3CL,8H4,214
NS1519_22022,A1,MERS-CoV-3CL,8A6,387
NS1519_22022,A1,HCoV-HKU1-3CL,3D10,2233
NS1519_22022,A1,HCoV-HKU1-3CL,3E10,1624
NS1519_22022,A1,HCoV-HKU1-3CL,3H10,2093
NS1519_22022,A1,HCoV-HKU1-3CL,3C11,1926
NS1519_22022,A1,HCoV-HKU1-3CL,3D11,2143
NS1519_22022,A1,HCoV-OC43-3CL,7G1,6406
NS1519_22022,A1,HCoV-OC43-3CL,7H1,5969
NS1519_22022,A1,HCoV-OC43-3CL,7A2,5822
NS1519_22022,A1,HCoV-OC43-3CL,7B2,3920
NS1519_22022,A1,HCoV-OC43-3CL,7D2,5222
NS1519_22022,A1,Bat-CoV-HKU4-3CL,7E3,1331
NS1519_22022,A1,Bat-CoV-HKU4-3CL,7F3,1230
NS1519_22022,A1,Bat-CoV-HKU4-3CL,7G3,1260
NS1519_22022,A1,Bat-CoV-HKU4-3CL,7H3,1446
NS1519_22022,A1,Bat-CoV-HKU4-3CL,7A4,1860
NS1519_22022,A1,Bat-CoV-HKU9-3CL,11D8,209
NS1519_22022,A1,Bat-CoV-HKU9-3CL,11F8,305
NS1519_22022,A1,Bat-CoV-HKU9-3CL,11G8,103
NS1519_22022,A1,Bat-CoV-HKU9-3CL,11H8,336
NS1519_22022,A1,Bat-CoV-HKU9-3CL,11B9,330
NS1519_22022,A1,Bat-SV-CoVZC45-3CL,5C4,925
NS1519_22022,A1,Bat-SV-CoVZC45-3CL,5D4,1098
NS1519_22022,A1,Bat-SV-CoVZC45-3CL,5F4,1279
NS1519_22022,A1,Bat-SV-CoVZC45-3CL,9D6,874
NS1519_22022,A1,Bat-SV-CoVZC45-3CL,5A5,1486
NS1519_22022,A1,Beluga-CoV-SW1,11D2,52
NS1519_22022,A1,Beluga-CoV-SW1,11G2,223
NS1519_22022,A1,Beluga-CoV-SW1,11H2,203
NS1519_22022,A1,Beluga-CoV-SW1,11A3,84
NS1519_22022,A1,Beluga-CoV-SW1,11B3,163
NS1519_22022,A1,HCoV-NL63-PLP2,6H1,938
NS1519_22022,A1,HCoV-NL63-PLP2,6A2,1322
NS1519_22022,A1,HCoV-NL63-PLP2,6C2,1076
NS1519_22022,A1,HCoV-NL63-PLP2,6E2,845
NS1519_22022,A1,HCoV-NL63-PLP2,6F2,1583
NS1519_22022,A1,SARS-CoV-1-PLP,6B4,270
NS1519_22022,A1,SARS-CoV-1-PLP,6C4,529
NS1519_22022,A1,SARS-CoV-1-PLP,6D4,695
NS1519_22022,A1,SARS-CoV-1-PLP,6E4,259
NS1519_22022,A1,SARS-CoV-1-PLP,6G4,471
NS1519_22022,A1,SARS-CoV-2-PLP,6D6,1498
NS1519_22022,A1,SARS-CoV-2-PLP,6E6,1485
NS1519_22022,A1,SARS-CoV-2-PLP,6F6,1826
NS1519_22022,A1,SARS-CoV-2-PLP,6H6,1599
NS1519_22022,A1,SARS-CoV-2-PLP,6A7,2266
NS1519_22022,A1,MERS-CoV-PLP,6B9,952
NS1519_22022,A1,MERS-CoV-PLP,6C9,777
NS1519_22022,A1,MERS-CoV-PLP,6E9,708
NS1519_22022,A1,MERS-CoV-PLP,6F9,1096
NS1519_22022,A1,MERS-CoV-PLP,6H9,965
NS1519_22022,A1,Bat-SL-CoVZC45-PLP2,7E2,913
NS1519_22022,A1,Bat-SL-CoVZC45-PLP2,7G2,1354
NS1519_22022,A1,Bat-SL-CoVZC45-PLP2,7H2,1108
NS1519_22022,A1,Bat-SL-CoVZC45-PLP2,7A3,1097
NS1519_22022,A1,Bat-SL-CoVZC45-PLP2,7B3,756
NS1519_22022,A1,LGTV,4C7,2545
NS1519_22022,A1,LGTV,4E10,1345
NS1519_22022,A1,LGTV,4F12,2617
NS1519_22022,A1,LGTV,4F7,2433
NS1519_22022,A1,LGTV,4F10,2875
NS1519_22022,A1,DENV,11C6,6514
NS1519_22022,A1,DENV,11D6,9366
NS1519_22022,A1,DENV,11H6,5526
NS1519_22022,A1,DENV,11A7,7567
NS1519_22022,A1,POWV,7B4,941
NS1519_22022,A1,POWV,7C4,1670
NS1519_22022,A1,POWV,7E4,1603
NS1519_22022,A1,POWV,7F4,1098
NS1519_22022,A1,POWV,7A5,1050
NS1519_22022,A1,WNV,7G6,2914
NS1519_22022,A1,WNV,7H6,1894
NS1519_22022,A1,WNV,7A7,3333
NS1519_22022,A1,WNV,7B7,2593
NS1519_22022,A1,WNV,7D7,2842
NS1519_22022,A1,ZIKV,1G7,2856
NS1519_22022,A1,ZIKV,1A8,3565
NS1519_22022,A1,ZIKV,1C8,2800
NS1519_22022,A1,ZIKV,1D8,2381
NS1519_22022,A1,ZIKV,1E8,2831
NS1519_22022,A1,HCV,7E12,2759
NS1519_22022,A1,HCV,7F12,2137
NS1519_22022,A1,HCV,7G12,1662
NS1519_22022,A1,HCV,7H12,2010
NS1519_22022,A1,HCV,9B1,1158
NS1519_22022,A1,SLEV,9H2,788
NS1519_22022,A1,SLEV,9B3,701
NS1519_22022,A1,SLEV,9E3,459
NS1519_22022,A1,SLEV,9F3,523
NS1519_22022,A1,SLEV,9H3,531
NS1519_22022,A1,KUNV,7A8,3206
NS1519_22022,A1,KUNV,7E8,3440
NS1519_22022,A1,KUNV,7F8,1720
NS1519_22022,A1,KUNV,7H8,4494
NS1519_22022,A1,KUNV,7D9,3945
NS1519_22022,A1,PV,2D6,3044
NS1519_22022,A1,PV,2F6,2792
NS1519_22022,A1,PV,2G6,3225
NS1519_22022,A1,PV,2B7,4027
NS1519_22022,A1,PV,2C7,3787
NS1519_22022,A1,SV-A,9B5,919
NS1519_22022,A1,SV-A,9D5,774
NS1519_22022,A1,SV-A,9E5,500
NS1519_22022,A1,SV-A,9F5,869
NS1519_22022,A1,SV-A,9G5,876
NS1519_22022,A1,HAV,7E11,3150
NS1519_22022,A1,HAV,7F11,4720
NS1519_22022,A1,HAV,7G11,2472
NS1519_22022,A1,HAV,7H11,3915
NS1519_22022,A1,EMCV,9B12,3009
NS1519_22022,A1,EMCV,9D12,1786
NS1519_22022,A1,EMCV,9E12,2754
NS1519_22022,A1,EMCV,9F12,1556
NS1519_22022,A1,HPeV,2A8,1775
NS1519_22022,A1,HPeV,2B8,1148
NS1519_22022,A1,HPeV,2C8,894
NS1519_22022,A1,HPeV,2D8,1351
NS1519_22022,A1,HPeV,2E8,1084
NS1519_22022,A1,HRV-B14,9C1,638
NS1519_22022,A1,HRV-B14,9H1,870
NS1519_22022,A1,HRV-B14,9A2,619
NS1519_22022,A1,HRV-B14,9B2,766
NS1519_22022,A1,HRV-B14,9C2,1232
NS1519_22022,A1,CV-B3,7E9,162
NS1519_22022,A1,CV-B3,7F9,107
NS1519_22022,A1,CV-B3,7H9,54
NS1519_22022,A1,CV-B3,7A10,242
NS1519_22022,A1,CV-B3,7B10,196
NS1519_22022,A1,HTLV,3B6,236
NS1519_22022,A1,HTLV,3D6,440
NS1519_22022,A1,HTLV,3F6,291
NS1519_22022,A1,HTLV,3A7,257
NS1519_22022,A1,HTLV,3B7,216
NS1519_22022,A1,HIV-2,7E10,362
NS1519_22022,A1,HIV-2,7D12,507
NS1519_22022,A1,HIV-2,9G2,380
NS1519_22022,A1,HIV-2,9A5,1175
NS1519_22022,A1,HIV-2,9A9,541
NS1519_22022,A1,HIV-1,1E3,1962
NS1519_22022,A1,HIV-1,9C10,1656
NS1519_22022,A1,HIV-1,1G3,697
NS1519_22022,A1,HIV-1,1A4,1762
NS1519_22022,A1,HIV-1,1B4,861
NS1519_22022,A1,HHV-3,9A4,591
NS1519_22022,A1,HHV-3,9B4,476
NS1519_22022,A1,HHV-3,9C4,466
NS1519_22022,A1,HHV-3,9D4,332
NS1519_22022,A1,HHV-3,9F4,445
NS1519_22022,A1,YES1,4C9,822
NS1519_22022,A1,YES1,4E9,1230
NS1519_22022,A1,YES1,4G9,929
NS1519_22022,A1,YES1,4B10,931
NS1519_22022,A1,YES1,4C10,971
NS1519_22022,A1,c-Src,1D4,5717
NS1519_22022,A1,c-Src,1D7,5639
NS1519_22022,A1,c-Src,1B10,3340
NS1519_22022,A1,c-Src,4G1,4832
NS1519_22022,A1,c-Src,9F11,2572
NS1519_22022,A1,FES,6A3,693
NS1519_22022,A1,FES,6D5,444
NS1519_22022,A1,FES,6E7,632
NS1519_22022,A1,FES,6C10,553
NS1519_22022,A1,FES,7D3,512
NS1519_22022,A1,EYFP,3C5,29383
NS1519_22022,A1,EYFP,3D5,32745
NS1519_22022,A1,EYFP,3F5,32977
NS1519_22022,A1,EYFP,3H5,30003
NS1519_22022,A1,EYFP,3A6,36056
NS1519_22022,A2,CCHFV,6A1,24
NS1519_22022,A2,CCHFV,6B1,68
NS1519_22022,A2,CCHFV,6C1,49
NS1519_22022,A2,CCHFV,6E1,98
NS1519_22022,A2,CCHFV,6F1,53
NS1519_22022,A2,DUGV,7D10,138
NS1519_22022,A2,DUGV,2H8,210
NS1519_22022,A2,DUGV,2A9,237
NS1519_22022,A2,DUGV,2C9,472
NS1519_22022,A2,DUGV,2D9,303
NS1519_22022,A2,NWV,7B12,468
NS1519_22022,A2,NWV,10A12,294
NS1519_22022,A2,NWV,10B12,289
NS1519_22022,A2,NWV,10D12,513
NS1519_22022,A2,NWV,10E12,652
NS1519_22022,A2,SHV,3F11,1
NS1519_22022,A2,SHV,3H11,57
NS1519_22022,A2,SHV,3A12,44
NS1519_22022,A2,SHV,3E12,41
NS1519_22022,A2,SHV,3F12,62
NS1519_22022,A2,LV,6B3,401
NS1519_22022,A2,LV,6C3,1527
NS1519_22022,A2,LV,6D3,353
NS1519_22022,A2,LV,6E3,299
NS1519_22022,A2,LV,6G3,260
NS1519_22022,A2,HCoV-229E-3CL,5D8,703
NS1519_22022,A2,HCoV-229E-3CL,5E8,434
NS1519_22022,A2,HCoV-229E-3CL,5F8,573
NS1519_22022,A2,HCoV-229E-3CL,5H8,1009
NS1519_22022,A2,HCoV-229E-3CL,5A9,1247
NS1519_22022,A2,HCoV-NL63-3CL,5H10,1601
NS1519_22022,A2,HCoV-NL63-3CL,5A11,1451
NS1519_22022,A2,HCoV-NL63-3CL,5C11,990
NS1519_22022,A2,HCoV-NL63-3CL,5E11,1065
NS1519_22022,A2,HCoV-NL63-3CL,5F11,2556
NS1519_22022,A2,SARS-CoV-1-3CL,2F1,195
NS1519_22022,A2,SARS-CoV-1-3CL,2G1,236
NS1519_22022,A2,SARS-CoV-1-3CL,2A2,161
NS1519_22022,A2,SARS-CoV-1-3CL,2C2,194
NS1519_22022,A2,SARS-CoV-1-3CL,2D2,188
NS1519_22022,A2,SARS-CoV-2-3CL,9E2,3047
NS1519_22022,A2,SARS-CoV-2-3CL,1E12,2428
NS1519_22022,A2,SARS-CoV-2-3CL,1G12,2845
NS1519_22022,A2,SARS-CoV-2-3CL,1H12,1986
NS1519_22022,A2,SARS-CoV-2-3CL,4E1,3480
NS1519_22022,A2,MERS-CoV-3CL,8B4,339
NS1519_22022,A2,MERS-CoV-3CL,8D4,241
NS1519_22022,A2,MERS-CoV-3CL,8F4,231
NS1519_22022,A2,MERS-CoV-3CL,8H4,250
NS1519_22022,A2,MERS-CoV-3CL,8A6,434
NS1519_22022,A2,HCoV-HKU1-3CL,3D10,1482
NS1519_22022,A2,HCoV-HKU1-3CL,3E10,1860
NS1519_22022,A2,HCoV-HKU1-3CL,3H10,1091
NS1519_22022,A2,HCoV-HKU1-3CL,3C11,1417
NS1519_22022,A2,HCoV-HKU1-3CL,3D11,1207
NS1519_22022,A2,HCoV-OC43-3CL,7G1,3676
NS1519_22022,A2,HCoV-OC43-3CL,7H1,3228
NS1519_22022,A2,HCoV-OC43-3CL,7A2,3359
NS1519_22022,A2,HCoV-OC43-3CL,7B2,2136
NS1519_22022,A2,HCoV-OC43-3CL,7D2,3739
NS1519_22022,A2,Bat-CoV-HKU4-3CL,7E3,1015
NS1519_22022,A2,Bat-CoV-HKU4-3CL,7F3,672
NS1519_22022,A2,Bat-CoV-HKU4-3CL,7G3,1098
NS1519_22022,A2,Bat-CoV-HKU4-3CL,7H3,696
NS1519_22022,A2,Bat-CoV-HKU4-3CL,7A4,1796
NS1519_22022,A2,Bat-CoV-HKU9-3CL,11D8,120
NS1519_22022,A2,Bat-CoV-HKU9-3CL,11F8,100
NS1519_22022,A2,Bat-CoV-HKU9-3CL,11G8,102
NS1519_22022,A2,Bat-CoV-HKU9-3CL,11H8,124
NS1519_22022,A2,Bat-CoV-HKU9-3CL,11B9,193
NS1519_22022,A2,Bat-SV-CoVZC45-3CL,5C4,878
NS1519_22022,A2,Bat-SV-CoVZC45-3CL,5D4,1073
