runid,well,gene,barcode,counts
NS1519_22019,A1,CCHFV,6A1,35
NS1519_22019,A1,CCHFV,6B1,59
NS1519_22019,A1,CCHFV,6C1,39
NS1519_22019,A1,CCHFV,6E1,128
NS1519_22019,A1,CCHFV,6F1,39
NS1519_22019,A1,DUGV,7D10,403
NS1519_22019,A1,DUGV,2H8,265
NS1519_22019,A1,DUGV,2A9,379
NS1519_22019,A1,DUGV,2C9,294
NS1519_22019,A1,DUGV,2D9,251
NS1519_22019,A1,NWV,7B12,815
NS1519_22019,A1,NWV,10A12,542
NS1519_22019,A1,NWV,10B12,250
NS1519_22019,A1,NWV,10D12,820
NS1519_22019,A1,NWV,10E12,550
NS1519_22019,A1,SHV,3F11,53
NS1519_22019,A1,SHV,3H11,64
NS1519_22019,A1,SHV,3A12,28
NS1519_22019,A1,SHV,3E12,40
NS1519_22019,A1,SHV,3F12,63
NS1519_22019,A1,LV,6B3,297
NS1519_22019,A1,LV,6C3,229
NS1519_22019,A1,LV,6D3,466
NS1519_22019,A1,LV,6E3,260
NS1519_22019,A1,LV,6G3,90
NS1519_22019,A1,HCoV-229E-3CL,5D8,143
NS1519_22019,A1,HCoV-229E-3CL,5E8,155
NS1519_22019,A1,HCoV-229E-3CL,5F8,97
NS1519_22019,A1,HCoV-229E-3CL,5H8,402
NS1519_22019,A1,HCoV-229E-3CL,5A9,141
NS1519_22019,A1,HCoV-NL63-3CL,5H10,865
NS1519_22019,A1,HCoV-NL63-3CL,5A11,1120
NS1519_22019,A1,HCoV-NL63-3CL,5C11,691
NS1519_22019,A1,HCoV-NL63-3CL,5E11,553
NS1519_22019,A1,HCoV-NL63-3CL,5F11,1545
NS1519_22019,A1,SARS-CoV-1-3CL,2F1,404
NS1519_22019,A1,SARS-CoV-1-3CL,2G1,153
NS1519_22019,A1,SARS-CoV-1-3CL,2A2,334
NS1519_22019,A1,SARS-CoV-1-3CL,2C2,216
NS1519_22019,A1,SARS-CoV-1-3CL,2D2,137
NS1519_22019,A1,SARS-CoV-2-3CL,9E2,2709
NS1519_22019,A1,SARS-CoV-2-3CL,1E12,1990
NS1519_22019,A1,SARS-CoV-2-3CL,1G12,2509
NS1519_22019,A1,SARS-CoV-2-3CL,1H12,1724
NS1519_22019,A1,SARS-CoV-2-3CL,4E1,1732
NS1519_22019,A1,MERS-CoV-3CL,8B4,209
NS1519_22019,A1,MERS-CoV-3CL,8D4,277
NS1519_22019,A1,MERS-CoV-3CL,8F4,330
NS1519_22019,A1,MERS-CoV-3CL,8H4,349
NS1519_22019,A1,MERS-CoV-3CL,8A6,292
NS1519_22019,A1,HCoV-HKU1-3CL,3D10,1258
NS1519_22019,A1,HCoV-HKU1-3CL,3E10,879
NS1519_22019,A1,HCoV-HKU1-3CL,3H10,803
NS1519_22019,A1,HCoV-HKU1-3CL,3C11,995
NS1519_22019,A1,HCoV-HKU1-3CL,3D11,1206
NS1519_22019,A1,HCoV-OC43-3CL,7G1,966
NS1519_22019,A1,HCoV-OC43-3CL,7H1,1410
NS1519_22019,A1,HCoV-OC43-3CL,7A2,1233
NS1519_22019,A1,HCoV-OC43-3CL,7B2,688
NS1519_22019,A1,HCoV-OC43-3CL,7D2,634
NS1519_22019,A1,Bat-CoV-HKU4-3CL,7E3,842
NS1519_22019,A1,Bat-CoV-HKU4-3CL,7F3,457
NS1519_22019,A1,Bat-CoV-HKU4-3CL,7G3,1002
NS1519_22019,A1,Bat-CoV-HKU4-3CL,7H3,831
NS1519_22019,A1,Bat-CoV-HKU4-3CL,7A4,763
NS1519_22019,A1,Bat-CoV-HKU9-3CL,11D8,37
NS1519_22019,A1,Bat-CoV-HKU9-3CL,11F8,160
NS1519_22019,A1,Bat-CoV-HKU9-3CL,11G8,53
NS1519_22019,A1,Bat-CoV-HKU9-3CL,11H8,149
NS1519_22019,A1,Bat-CoV-HKU9-3CL,11B9,92
NS1519_22019,A1,Bat-SV-CoVZC45-3CL,5C4,1448
NS1519_22019,A1,Bat-SV-CoVZC45-3CL,5D4,860
NS1519_22019,A1,Bat-SV-CoVZC45-3CL,5F4,1006
NS1519_22019,A1,Bat-SV-CoVZC45-3CL,9D6,1068
NS1519_22019,A1,Bat-SV-CoVZC45-3CL,5A5,1018
NS1519_22019,A1,Beluga-CoV-SW1,11D2,123
NS1519_22019,A1,Beluga-CoV-SW1,11G2,88
NS1519_22019,A1,Beluga-CoV-SW1,11H2,183
NS1519_22019,A1,Beluga-CoV-SW1,11A3,196
NS1519_22019,A1,Beluga-CoV-SW1,11B3,49
NS1519_22019,A1,HCoV-NL63-PLP2,6H1,790
NS1519_22019,A1,HCoV-NL63-PLP2,6A2,869
NS1519_22019,A1,HCoV-NL63-PLP2,6C2,651
NS1519_22019,A1,HCoV-NL63-PLP2,6E2,641
NS1519_22019,A1,HCoV-NL63-PLP2,6F2,639
NS1519_22019,A1,SARS-CoV-1-PLP,6B4,98
NS1519_22019,A1,SARS-CoV-1-PLP,6C4,264
NS1519_22019,A1,SARS-CoV-1-PLP,6D4,148
NS1519_22019,A1,SARS-CoV-1-PLP,6E4,68
NS1519_22019,A1,SARS-CoV-1-PLP,6G4,281
NS1519_22019,A1,SARS-CoV-2-PLP,6D6,612
NS1519_22019,A1,SARS-CoV-2-PLP,6E6,426
NS1519_22019,A1,SARS-CoV-2-PLP,6F6,565
NS1519_22019,A1,SARS-CoV-2-PLP,6H6,713
NS1519_22019,A1,SARS-CoV-2-PLP,6A7,973
NS1519_22019,A1,MERS-CoV-PLP,6B9,504
NS1519_22019,A1,MERS-CoV-PLP,6C9,512
NS1519_22019,A1,MERS-CoV-PLP,6E9,369
NS1519_22019,A1,MERS-CoV-PLP,6F9,457
NS1519_22019,A1,MERS-CoV-PLP,6H9,592
NS1519_22019,A1,Bat-SL-CoVZC45-PLP2,7E2,564
NS1519_22019,A1,Bat-SL-CoVZC45-PLP2,7G2,611
NS1519_22019,A1,Bat-SL-CoVZC45-PLP2,7H2,177
NS1519_22019,A1,Bat-SL-CoVZC45-PLP2,7A3,451
NS1519_22019,A1,Bat-SL-CoVZC45-PLP2,7B3,646
NS1519_22019,A1,LGTV,4C7,1979
NS1519_22019,A1,LGTV,4E10,958
NS1519_22019,A1,LGTV,4F12,1113
NS1519_22019,A1,LGTV,4F7,1228
NS1519_22019,A1,LGTV,4F10,1035
NS1519_22019,A1,DENV,11C6,5200
NS1519_22019,A1,DENV,11D6,4212
NS1519_22019,A1,DENV,11H6,5682
NS1519_22019,A1,DENV,11A7,5040
NS1519_22019,A1,POWV,7B4,454
NS1519_22019,A1,POWV,7C4,618
NS1519_22019,A1,POWV,7E4,571
NS1519_22019,A1,POWV,7F4,1018
NS1519_22019,A1,POWV,7A5,572
NS1519_22019,A1,WNV,7G6,765
NS1519_22019,A1,WNV,7H6,789
NS1519_22019,A1,WNV,7A7,1635
NS1519_22019,A1,WNV,7B7,1497
NS1519_22019,A1,WNV,7D7,2084
NS1519_22019,A1,ZIKV,1G7,1466
NS1519_22019,A1,ZIKV,1A8,2476
NS1519_22019,A1,ZIKV,1C8,1907
NS1519_22019,A1,ZIKV,1D8,1739
NS1519_22019,A1,ZIKV,1E8,1352
NS1519_22019,A1,HCV,7E12,1319
NS1519_22019,A1,HCV,7F12,3812
NS1519_22019,A1,HCV,7G12,1029
NS1519_22019,A1,HCV,7H12,1020
NS1519_22019,A1,HCV,9B1,920
NS1519_22019,A1,SLEV,9H2,242
NS1519_22019,A1,SLEV,9B3,195
NS1519_22019,A1,SLEV,9E3,120
NS1519_22019,A1,SLEV,9F3,260
NS1519_22019,A1,SLEV,9H3,133
NS1519_22019,A1,KUNV,7A8,1177
NS1519_22019,A1,KUNV,7E8,1280
NS1519_22019,A1,KUNV,7F8,792
NS1519_22019,A1,KUNV,7H8,1150
NS1519_22019,A1,KUNV,7D9,823
NS1519_22019,A1,PV,2D6,1230
NS1519_22019,A1,PV,2F6,1761
NS1519_22019,A1,PV,2G6,1765
NS1519_22019,A1,PV,2B7,2759
NS1519_22019,A1,PV,2C7,2172
NS1519_22019,A1,SV-A,9B5,790
NS1519_22019,A1,SV-A,9D5,785
NS1519_22019,A1,SV-A,9E5,803
NS1519_22019,A1,SV-A,9F5,720
NS1519_22019,A1,SV-A,9G5,713
NS1519_22019,A1,HAV,7E11,2554
NS1519_22019,A1,HAV,7F11,3633
NS1519_22019,A1,HAV,7G11,1994
NS1519_22019,A1,HAV,7H11,3453
NS1519_22019,A1,EMCV,9B12,1036
NS1519_22019,A1,EMCV,9D12,1092
NS1519_22019,A1,EMCV,9E12,1249
NS1519_22019,A1,EMCV,9F12,814
NS1519_22019,A1,HPeV,2A8,549
NS1519_22019,A1,HPeV,2B8,608
NS1519_22019,A1,HPeV,2C8,465
NS1519_22019,A1,HPeV,2D8,1132
NS1519_22019,A1,HPeV,2E8,858
NS1519_22019,A1,HRV-B14,9C1,181
NS1519_22019,A1,HRV-B14,9H1,691
NS1519_22019,A1,HRV-B14,9A2,621
NS1519_22019,A1,HRV-B14,9B2,238
NS1519_22019,A1,HRV-B14,9C2,651
NS1519_22019,A1,CV-B3,7E9,591
NS1519_22019,A1,CV-B3,7F9,99
NS1519_22019,A1,CV-B3,7H9,80
NS1519_22019,A1,CV-B3,7A10,115
NS1519_22019,A1,CV-B3,7B10,83
NS1519_22019,A1,HTLV,3B6,275
NS1519_22019,A1,HTLV,3D6,219
NS1519_22019,A1,HTLV,3F6,242
NS1519_22019,A1,HTLV,3A7,214
NS1519_22019,A1,HTLV,3B7,425
NS1519_22019,A1,HIV-2,7E10,1196
NS1519_22019,A1,HIV-2,7D12,1829
NS1519_22019,A1,HIV-2,9G2,946
NS1519_22019,A1,HIV-2,9A5,1899
NS1519_22019,A1,HIV-2,9A9,1427
NS1519_22019,A1,HIV-1,1E3,504
NS1519_22019,A1,HIV-1,9C10,1634
NS1519_22019,A1,HIV-1,1G3,1222
NS1519_22019,A1,HIV-1,1A4,1907
NS1519_22019,A1,HIV-1,1B4,289
NS1519_22019,A1,HHV-3,9A4,148
NS1519_22019,A1,HHV-3,9B4,224
NS1519_22019,A1,HHV-3,9C4,169
NS1519_22019,A1,HHV-3,9D4,236
NS1519_22019,A1,HHV-3,9F4,182
NS1519_22019,A1,YES1,4C9,1086
NS1519_22019,A1,YES1,4E9,648
NS1519_22019,A1,YES1,4G9,855
NS1519_22019,A1,YES1,4B10,984
NS1519_22019,A1,YES1,4C10,415
NS1519_22019,A1,c-Src,1D4,3400
NS1519_22019,A1,c-Src,1D7,4084
NS1519_22019,A1,c-Src,1B10,2393
NS1519_22019,A1,c-Src,4G1,1737
NS1519_22019,A1,c-Src,9F11,2766
NS1519_22019,A1,FES,6A3,215
NS1519_22019,A1,FES,6D5,136
NS1519_22019,A1,FES,6E7,282
NS1519_22019,A1,FES,6C10,155
NS1519_22019,A1,FES,7D3,357
NS1519_22019,A1,EYFP,3C5,12336
NS1519_22019,A1,EYFP,3D5,22111
NS1519_22019,A1,EYFP,3F5,16298
NS1519_22019,A1,EYFP,3H5,20047
NS1519_22019,A1,EYFP,3A6,17991
NS1519_22019,A2,CCHFV,6A1,39
NS1519_22019,A2,CCHFV,6B1,31
NS1519_22019,A2,CCHFV,6C1,22
NS1519_22019,A2,CCHFV,6E1,85
NS1519_22019,A2,CCHFV,6F1,48
NS1519_22019,A2,DUGV,7D10,443
NS1519_22019,A2,DUGV,2H8,237
NS1519_22019,A2,DUGV,2A9,352
NS1519_22019,A2,DUGV,2C9,419
NS1519_22019,A2,DUGV,2D9,238
NS1519_22019,A2,NWV,7B12,590
NS1519_22019,A2,NWV,10A12,799
NS1519_22019,A2,NWV,10B12,258
NS1519_22019,A2,NWV,10D12,727
NS1519_22019,A2,NWV,10E12,469
NS1519_22019,A2,SHV,3F11,32
NS1519_22019,A2,SHV,3H11,47
NS1519_22019,A2,SHV,3A12,37
NS1519_22019,A2,SHV,3E12,40
NS1519_22019,A2,SHV,3F12,50
NS1519_22019,A2,LV,6B3,100
NS1519_22019,A2,LV,6C3,134
NS1519_22019,A2,LV,6D3,320
NS1519_22019,A2,LV,6E3,112
NS1519_22019,A2,LV,6G3,83
NS1519_22019,A2,HCoV-229E-3CL,5D8,184
NS1519_22019,A2,HCoV-229E-3CL,5E8,88
NS1519_22019,A2,HCoV-229E-3CL,5F8,104
NS1519_22019,A2,HCoV-229E-3CL,5H8,136
NS1519_22019,A2,HCoV-229E-3CL,5A9,70
NS1519_22019,A2,HCoV-NL63-3CL,5H10,886
NS1519_22019,A2,HCoV-NL63-3CL,5A11,947
NS1519_22019,A2,HCoV-NL63-3CL,5C11,576
NS1519_22019,A2,HCoV-NL63-3CL,5E11,571
