runid,well,gene,barcode,counts
NS1519_22017,A1,CCHFV,6A1,70
NS1519_22017,A1,CCHFV,6B1,30
NS1519_22017,A1,CCHFV,6C1,83
NS1519_22017,A1,CCHFV,6E1,28
NS1519_22017,A1,CCHFV,6F1,14
NS1519_22017,A1,DUGV,7D10,241
NS1519_22017,A1,DUGV,2H8,91
NS1519_22017,A1,DUGV,2A9,112
NS1519_22017,A1,DUGV,2C9,158
NS1519_22017,A1,DUGV,2D9,186
NS1519_22017,A1,NWV,7B12,233
NS1519_22017,A1,NWV,10A12,283
NS1519_22017,A1,NWV,10B12,137
NS1519_22017,A1,NWV,10D12,600
NS1519_22017,A1,NWV,10E12,465
NS1519_22017,A1,SHV,3F11,2
NS1519_22017,A1,SHV,3H11,29
NS1519_22017,A1,SHV,3A12,30
NS1519_22017,A1,SHV,3E12,18
NS1519_22017,A1,SHV,3F12,27
NS1519_22017,A1,LV,6B3,189
NS1519_22017,A1,LV,6C3,97
NS1519_22017,A1,LV,6D3,465
NS1519_22017,A1,LV,6E3,183
NS1519_22017,A1,LV,6G3,130
NS1519_22017,A1,HCoV-229E-3CL,5D8,160
NS1519_22017,A1,HCoV-229E-3CL,5E8,166
NS1519_22017,A1,HCoV-229E-3CL,5F8,238
NS1519_22017,A1,HCoV-229E-3CL,5H8,124
NS1519_22017,A1,HCoV-229E-3CL,5A9,186
NS1519_22017,A1,HCoV-NL63-3CL,5H10,867
NS1519_22017,A1,HCoV-NL63-3CL,5A11,435
NS1519_22017,A1,HCoV-NL63-3CL,5C11,724
NS1519_22017,A1,HCoV-NL63-3CL,5E11,679
NS1519_22017,A1,HCoV-NL63-3CL,5F11,1298
NS1519_22017,A1,SARS-CoV-1-3CL,2F1,66
NS1519_22017,A1,SARS-CoV-1-3CL,2G1,79
NS1519_22017,A1,SARS-CoV-1-3CL,2A2,98
NS1519_22017,A1,SARS-CoV-1-3CL,2C2,88
NS1519_22017,A1,SARS-CoV-1-3CL,2D2,98
NS1519_22017,A1,SARS-CoV-2-3CL,9E2,1859
