plate,well,OD595
NS1519_22009,A01,0.3877
NS1519_22009,B01,0.4422
NS1519_22009,C01,0.4161
NS1519_22009,D01,0.4773
NS1519_22009,E01,0.3713
NS1519_22009,F01,0.348
NS1519_22009,G01,0.3294
NS1519_22009,H01,0.3178
NS1519_22009,A02,0.3326
NS1519_22009,B02,0.4503
NS1519_22009,C02,0.3715
NS1519_22009,D02,0.402
NS1519_22009,E02,0.3963
NS1519_22009,F02,0.32
NS1519_22009,G02,0.3405
NS1519_22009,H02,0.32
NS1519_22009,A03,0.034
NS1519_22009,B03,0.4372
NS1519_22009,C03,0.4149
NS1519_22009,D03,0.3781
NS1519_22009,E03,0.3704
NS1519_22009,F03,0.3348
NS1519_22009,G03,0.3309
NS1519_22009,H03,0.3132
NS1519_22009,A04,0.4414
NS1519_22009,B04,0.4214
NS1519_22009,C04,0.3965
NS1519_22009,D04,0.3878
NS1519_22009,E04,0.3763
NS1519_22009,F04,0.3596
NS1519_22009,G04,0.3343
NS1519_22009,H04,0.2707
NS1519_22009,A05,0.4264
NS1519_22009,B05,0.4149
NS1519_22009,C05,0.4138
NS1519_22009,D05,0.3959
NS1519_22009,E05,0.3615
NS1519_22009,F05,0.3674
NS1519_22009,G05,0.3296
NS1519_22009,H05,0.3234
NS1519_22009,A06,0.4429
NS1519_22009,B06,0.4321
NS1519_22009,C06,0.4118
NS1519_22009,D06,0.3913
NS1519_22009,E06,0.3802
NS1519_22009,F06,0.3519
NS1519_22009,G06,0.3299
NS1519_22009,H06,0.3099
NS1519_22009,A07,0.4443
NS1519_22009,B07,0.4177
NS1519_22009,C07,0.4378
NS1519_22009,D07,0.3844
NS1519_22009,E07,0.3869
NS1519_22009,F07,0.3264
NS1519_22009,G07,0.3369
NS1519_22009,H07,0.3326
NS1519_22009,A08,0.4376
NS1519_22009,B08,0.4378
NS1519_22009,C08,0.4148
NS1519_22009,D08,0.3234
NS1519_22009,E08,0.3899
NS1519_22009,F08,0.3629
NS1519_22009,G08,0.3542
NS1519_22009,H08,0.3349
NS1519_22009,A09,0.2957
NS1519_22009,B09,0.4433
NS1519_22009,C09,0.439
NS1519_22009,D09,0.3925
NS1519_22009,E09,0.3808
NS1519_22009,F09,0.3665
NS1519_22009,G09,0.3501
NS1519_22009,H09,0.0664
NS1519_22009,A10,0.4475
NS1519_22009,B10,0.4769
NS1519_22009,C10,0.4329
NS1519_22009,D10,0.3863
NS1519_22009,E10,0.381
NS1519_22009,F10,0.2511
NS1519_22009,G10,0.3951
NS1519_22009,H10,0.3337
NS1519_22009,A11,0.4626
NS1519_22009,B11,0.1737
NS1519_22009,C11,0.4262
NS1519_22009,D11,0.4181
NS1519_22009,E11,0.4023
NS1519_22009,F11,0.3671
NS1519_22009,G11,0.3817
NS1519_22009,H11,0.342
NS1519_22009,A12,0.4765
NS1519_22009,B12,0.4663
NS1519_22009,C12,0.453
NS1519_22009,D12,0.4381
NS1519_22009,E12,0.5509
NS1519_22009,F12,0.3939
NS1519_22009,G12,0.3719
NS1519_22009,H12,0.368
NS1519_22010,A01,0.3351
NS1519_22010,B01,0.349
NS1519_22010,C01,0.3436
NS1519_22010,D01,0.4307
NS1519_22010,E01,0.3151
NS1519_22010,F01,0.3173
NS1519_22010,G01,0.316
NS1519_22010,H01,0.317
NS1519_22010,A02,0.3314
NS1519_22010,B02,0.3399
NS1519_22010,C02,0.332
NS1519_22010,D02,0.3136
NS1519_22010,E02,0.3075
NS1519_22010,F02,0.312
NS1519_22010,G02,0.3109
NS1519_22010,H02,0.3129
NS1519_22010,A03,0.3228
NS1519_22010,B03,0.3422
NS1519_22010,C03,0.196
NS1519_22010,D03,0.3234
NS1519_22010,E03,0.3134
NS1519_22010,F03,0.319
NS1519_22010,G03,0.2698
NS1519_22010,H03,0.0643
NS1519_22010,A04,0.3125
NS1519_22010,B04,0.3394
NS1519_22010,C04,0.3148
NS1519_22010,D04,0.3151
NS1519_22010,E04,0.2878
NS1519_22010,F04,0.2782
NS1519_22010,G04,0.3031
NS1519_22010,H04,0.2766
NS1519_22010,A05,0.3365
NS1519_22010,B05,0.2734
NS1519_22010,C05,0.3439
NS1519_22010,D05,0.3121
NS1519_22010,E05,0.2552
NS1519_22010,F05,0.2958
NS1519_22010,G05,0.2895
NS1519_22010,H05,0.3245
NS1519_22010,A06,0.3245
NS1519_22010,B06,0.3081
NS1519_22010,C06,0.2227
NS1519_22010,D06,0.2995
NS1519_22010,E06,0.3118
NS1519_22010,F06,0.2364
NS1519_22010,G06,0.3167
NS1519_22010,H06,0.3091
NS1519_22010,A07,0.2754
NS1519_22010,B07,0.355
NS1519_22010,C07,0.3396
NS1519_22010,D07,0.3045
NS1519_22010,E07,0.1548
NS1519_22010,F07,0.3291
NS1519_22010,G07,0.3131
NS1519_22010,H07,0.3062
NS1519_22010,A08,0.3225
NS1519_22010,B08,0.3349
NS1519_22010,C08,0.331
NS1519_22010,D08,0.3108
NS1519_22010,E08,0.3197
NS1519_22010,F08,0.3172
NS1519_22010,G08,0.3144
NS1519_22010,H08,0.3018
NS1519_22010,A09,0.2928
NS1519_22010,B09,0.3222
NS1519_22010,C09,0.032
NS1519_22010,D09,0.3186
NS1519_22010,E09,0.3168
NS1519_22010,F09,0.2638
NS1519_22010,G09,0.231
NS1519_22010,H09,0.3364
NS1519_22010,A10,0.3106
NS1519_22010,B10,0.3408
NS1519_22010,C10,0.3369
NS1519_22010,D10,0.2969
NS1519_22010,E10,0.3369
NS1519_22010,F10,0.3313
NS1519_22010,G10,0.3312
NS1519_22010,H10,0.2926
NS1519_22010,A11,0.1997
NS1519_22010,B11,0.3317
NS1519_22010,C11,0.3107
NS1519_22010,D11,0.3343
NS1519_22010,E11,0.3051
NS1519_22010,F11,0.3517
NS1519_22010,G11,0.3403
NS1519_22010,H11,0.2406
NS1519_22010,A12,0.3421
NS1519_22010,B12,0.3372
NS1519_22010,C12,0.3226
NS1519_22010,D12,0.3305
NS1519_22010,E12,0.4448
NS1519_22010,F12,0.3411
NS1519_22010,G12,0.3514
NS1519_22010,H12,0.3586
NS1519_22017,A01,0.5517
NS1519_22017,B01,0.4763
NS1519_22017,C01,0.5018
NS1519_22017,D01,0.4943
NS1519_22017,E01,0.4163
NS1519_22017,F01,0.4397
NS1519_22017,G01,0.4317
NS1519_22017,H01,0.4487
NS1519_22017,A02,0.483
NS1519_22017,B02,0.5118
NS1519_22017,C02,0.5214
NS1519_22017,D02,0.3941
NS1519_22017,E02,0.433
NS1519_22017,F02,0.4052
NS1519_22017,G02,0.0597
NS1519_22017,H02,0.4504
NS1519_22017,A03,0.4829
NS1519_22017,B03,0.523
NS1519_22017,C03,0.3402
NS1519_22017,D03,0.4372
NS1519_22017,E03,0.4112
NS1519_22017,F03,0.3787
NS1519_22017,G03,0.432
NS1519_22017,H03,0.4406
NS1519_22017,A04,0.5255
NS1519_22017,B04,0.3987
NS1519_22017,C04,0.5327
NS1519_22017,D04,0.4233
NS1519_22017,E04,0.4279
NS1519_22017,F04,0.4379
NS1519_22017,G04,0.4277
NS1519_22017,H04,0.3876
NS1519_22017,A05,0.5323
NS1519_22017,B05,0.4982
NS1519_22017,C05,0.5297
NS1519_22017,D05,0.3658
NS1519_22017,E05,0.4588
NS1519_22017,F05,0.4668
NS1519_22017,G05,0.42
NS1519_22017,H05,0.3432
NS1519_22017,A06,0.5419
NS1519_22017,B06,0.5209
NS1519_22017,C06,0.4799
NS1519_22017,D06,0.4281
NS1519_22017,E06,0.449
NS1519_22017,F06,0.4552
NS1519_22017,G06,0.4182
NS1519_22017,H06,0.2677
NS1519_22017,A07,0.5383
NS1519_22017,B07,0.5353
NS1519_22017,C07,0.5309
NS1519_22017,D07,0.2148
NS1519_22017,E07,0.4209
NS1519_22017,F07,0.4659
NS1519_22017,G07,0.4626
NS1519_22017,H07,0.4423
NS1519_22017,A08,0.5512
NS1519_22017,B08,0.5438
NS1519_22017,C08,0.5314
NS1519_22017,D08,0.3356
NS1519_22017,E08,0.4665
NS1519_22017,F08,0.4837
NS1519_22017,G08,0.4551
NS1519_22017,H08,0.4465
NS1519_22017,A09,0.5315
NS1519_22017,B09,0.5538
NS1519_22017,C09,0.466
NS1519_22017,D09,0.5079
NS1519_22017,E09,0.394
NS1519_22017,F09,0.4629
NS1519_22017,G09,0.4742
NS1519_22017,H09,0.4695
NS1519_22017,A10,0.5141
NS1519_22017,B10,0.5581
NS1519_22017,C10,0.5433
NS1519_22017,D10,0.5092
NS1519_22017,E10,0.4735
NS1519_22017,F10,0.4743
NS1519_22017,G10,0.4755
NS1519_22017,H10,0.4308
NS1519_22017,A11,0.5408
NS1519_22017,B11,0.5514
NS1519_22017,C11,0.5538
NS1519_22017,D11,0.4451
NS1519_22017,E11,0.4643
NS1519_22017,F11,0.4526
NS1519_22017,G11,0.4777
NS1519_22017,H11,0.4666
NS1519_22017,A12,0.551
NS1519_22017,B12,0.5649
NS1519_22017,C12,0.5644
NS1519_22017,D12,0.5293
NS1519_22017,E12,0.5694
NS1519_22017,F12,0.4957
NS1519_22017,G12,0.4884
NS1519_22017,H12,0.4498
NS1519_22018,A01,0.5471
NS1519_22018,B01,0.6312
NS1519_22018,C01,0.6073
NS1519_22018,D01,0.6113
NS1519_22018,E01,0.5533
NS1519_22018,F01,0.5377
NS1519_22018,G01,0.597
NS1519_22018,H01,0.5257
NS1519_22018,A02,0.54
NS1519_22018,B02,0.6007
NS1519_22018,C02,0.5145
NS1519_22018,D02,0.5505
NS1519_22018,E02,0.5362
NS1519_22018,F02,0.5522
NS1519_22018,G02,0.5339
NS1519_22018,H02,0.5189
NS1519_22018,A03,0.5617
NS1519_22018,B03,0.7192
NS1519_22018,C03,0.5871
NS1519_22018,D03,0.5383
NS1519_22018,E03,0.578
NS1519_22018,F03,0.5888
NS1519_22018,G03,0.3254
NS1519_22018,H03,0.5378
NS1519_22018,A04,0.5809
NS1519_22018,B04,0.7735
NS1519_22018,C04,0.6332
NS1519_22018,D04,0.4847
NS1519_22018,E04,0.5865
NS1519_22018,F04,0.5514
NS1519_22018,G04,0.5179
NS1519_22018,H04,0.5596
NS1519_22018,A05,0.6037
NS1519_22018,B05,0.8332
NS1519_22018,C05,0.6239
NS1519_22018,D05,0.6158
NS1519_22018,E05,0.6303
NS1519_22018,F05,0.6366
NS1519_22018,G05,0.5668
NS1519_22018,H05,0.5884
NS1519_22018,A06,0.5367
NS1519_22018,B06,0.8361
NS1519_22018,C06,0.8022
NS1519_22018,D06,0.8428
NS1519_22018,E06,0.577
NS1519_22018,F06,0.6413
NS1519_22018,G06,0.6187
NS1519_22018,H06,0.6317
NS1519_22018,A07,0.0534
NS1519_22018,B07,0.7896
NS1519_22018,C07,0.7383
NS1519_22018,D07,0.6175
NS1519_22018,E07,0.5694
NS1519_22018,F07,0.6303
NS1519_22018,G07,0.5882
NS1519_22018,H07,0.6465
NS1519_22018,A08,0.6339
NS1519_22018,B08,0.9885
NS1519_22018,C08,0.6294
NS1519_22018,D08,0.5669
NS1519_22018,E08,0.6167
NS1519_22018,F08,0.3144
NS1519_22018,G08,0.6138
NS1519_22018,H08,0.478
NS1519_22018,A09,0.6252
NS1519_22018,B09,0.7793
NS1519_22018,C09,0.6247
NS1519_22018,D09,0.6594
NS1519_22018,E09,0.542
NS1519_22018,F09,0.7004
NS1519_22018,G09,0.5553
NS1519_22018,H09,0.6633
NS1519_22018,A10,0.6326
NS1519_22018,B10,0.8961
NS1519_22018,C10,0.6348
NS1519_22018,D10,0.6037
NS1519_22018,E10,0.5925
NS1519_22018,F10,0.6591
NS1519_22018,G10,0.6447
NS1519_22018,H10,0.6575
NS1519_22018,A11,0.6358
NS1519_22018,B11,0.8183
NS1519_22018,C11,0.6217
NS1519_22018,D11,0.63
NS1519_22018,E11,0.6609
NS1519_22018,F11,0.6494
NS1519_22018,G11,0.5924
NS1519_22018,H11,0.6607
NS1519_22018,A12,0.6338
NS1519_22018,B12,0.7993
NS1519_22018,C12,0.6414
NS1519_22018,D12,0.6325
NS1519_22018,E12,0.8361
NS1519_22018,F12,0.6067
NS1519_22018,G12,0.6582
NS1519_22018,H12,0.6587
NS1519_22019,A01,0.401
NS1519_22019,B01,0.4097
NS1519_22019,C01,0.3994
NS1519_22019,D01,0.5338
NS1519_22019,E01,0.3925
NS1519_22019,F01,0.4258
NS1519_22019,G01,0.4344
NS1519_22019,H01,0.4413
NS1519_22019,A02,0.3567
NS1519_22019,B02,0.3916
NS1519_22019,C02,0.408
NS1519_22019,D02,0.4153
NS1519_22019,E02,0.4074
NS1519_22019,F02,0.4089
NS1519_22019,G02,0.3608
NS1519_22019,H02,0.3882
NS1519_22019,A03,0.4374
NS1519_22019,B03,0.4338
NS1519_22019,C03,0.2683
NS1519_22019,D03,0.3766
NS1519_22019,E03,0.4074
NS1519_22019,F03,0.4267
NS1519_22019,G03,0.4295
NS1519_22019,H03,0.4321
NS1519_22019,A04,0.4239
NS1519_22019,B04,0.3803
NS1519_22019,C04,0.4415
NS1519_22019,D04,0.4494
NS1519_22019,E04,0.4106
NS1519_22019,F04,0.4338
NS1519_22019,G04,0.4583
NS1519_22019,H04,0.4576
NS1519_22019,A05,0.4482
NS1519_22019,B05,0.4523
NS1519_22019,C05,0.4528
NS1519_22019,D05,0.4411
NS1519_22019,E05,0.428
NS1519_22019,F05,0.4555
NS1519_22019,G05,0.4507
NS1519_22019,H05,0.4215
NS1519_22019,A06,0.4917
NS1519_22019,B06,0.4619
NS1519_22019,C06,0.4532
NS1519_22019,D06,0.3241
NS1519_22019,E06,0.4088
NS1519_22019,F06,0.4491
NS1519_22019,G06,0.3067
NS1519_22019,H06,0.4418
NS1519_22019,A07,0.4841
NS1519_22019,B07,0.4522
NS1519_22019,C07,0.4638
NS1519_22019,D07,0.4401
NS1519_22019,E07,0.3962
NS1519_22019,F07,0.4661
NS1519_22019,G07,0.4132
NS1519_22019,H07,0.4533
NS1519_22019,A08,0.5155
NS1519_22019,B08,0.308
NS1519_22019,C08,0.477
NS1519_22019,D08,0.496
NS1519_22019,E08,0.4016
NS1519_22019,F08,0.4352
NS1519_22019,G08,0.4755
NS1519_22019,H08,0.1989
NS1519_22019,A09,0.4397
